Date,Variable,Ground Truth,SZBVAR,Lower,Upper,VAR,CatBoost,Nbeats
4/1/22,Unemploymentrate,7.2,7.37334032,7.216569524,7.576491746,7.481774458,8.425891916,7.525660656
5/1/22,Unemploymentrate,7.1,7.345300235,4.313510099,10.90670585,7.576466001,8.16488102,11.22589296
6/1/22,Unemploymentrate,7,7.310582524,2.735660148,13.66878548,7.656027749,8.157718264,10.11751955
7/1/22,Unemploymentrate,7.1,7.265223887,5.336336335,21.07568738,7.694166622,8.390801578,6.381795597
8/1/22,Unemploymentrate,7.6,7.219729436,2.352653641,22.8952383,7.711303784,8.765688785,6.702349486
9/1/22,Unemploymentrate,7.2,7.17776111,1.130042943,28.28812035,7.718161805,8.941901961,7.185621567
10/1/22,Unemploymentrate,7.4,7.146791768,5.425678853,37.10555216,7.73822329,8.484841588,7.500072115
11/1/22,Unemploymentrate,7.3,7.139901204,0.940832167,36.70784309,7.763150922,8.643967765,9.523853884
12/1/22,Unemploymentrate,7.3,7.122337583,0.923466227,40.0340484,7.770191971,8.554379543,6.875455136
1/1/23,Unemploymentrate,7.4,7.103653781,2.220093254,42.99367965,7.777532768,8.546931391,10.16453559
2/1/23,Unemploymentrate,7.2,7.075503992,1.28809314,43.81052713,7.759298244,8.867017565,8.760303234
3/1/23,Unemploymentrate,7,7.054552457,3.831238515,45.63060191,7.742720284,9.143059735,8.911269783
4/1/23,Unemploymentrate,7,7.02686055,4.631312825,48.52345064,7.699388098,9.383391171,9.572804993
5/1/23,Unemploymentrate,7,7.007596556,4.262518145,48.49725975,7.645950011,9.398309967,8.379206387
6/1/23,Unemploymentrate,6.9,7.001513468,6.554946013,51.98711166,7.60280226,9.20285861,7.655217096
7/1/23,Unemploymentrate,7.2,7.006293081,3.778257359,49.15887932,7.569894173,8.883414605,9.857112724
8/1/23,Unemploymentrate,7.8,7.006404745,1.563575758,46.89695763,7.537574349,8.995615902,10.15839662
9/1/23,Unemploymentrate,7.5,7.018434026,2.301739653,47.65659906,7.513687787,9.231012991,7.650062448
10/1/23,Unemploymentrate,7.7,7.02296044,6.951756472,53.53790673,7.483361576,8.916163559,11.25460042
11/1/23,Unemploymentrate,7.7,7.015610786,0.455925325,47.63409268,7.431075498,8.949915011,6.998950499
12/1/23,Unemploymentrate,7.7,7.056747911,0.496948256,50.239633,7.416040332,8.894627567,10.80214095
1/1/24,Unemploymentrate,7.8,7.107949589,6.056125577,51.4893793,7.420534862,9.041941493,8.140126652
2/1/24,Unemploymentrate,7.6,7.133915789,5.290747796,49.5835629,7.402704687,9.005714065,10.95690482
3/1/24,Unemploymentrate,7.3,7.180816853,4.408681276,51.81199801,7.396109671,9.053653488,6.174916058
4/1/22,RealbroadEER,95.22,96.19183872,95.74096852,96.69419342,96.20814723,100.7385372,96.35015998
5/1/22,RealbroadEER,95.27,96.20038573,95.18159593,96.82772868,96.25891091,100.6290621,99.67760695
6/1/22,RealbroadEER,95.43,96.23624928,95.31159784,97.82745477,96.23805088,100.5902406,97.688253
7/1/22,RealbroadEER,94.29,96.18847917,94.93706286,98.54122297,96.14599415,101.0661591,98.51493129
8/1/22,RealbroadEER,94.11,96.08840376,93.62581783,98.61836008,96.04573878,100.8940936,99.28312736
9/1/22,RealbroadEER,92.98,96.17501355,92.33832961,98.59967674,96.08880964,100.7885769,100.8393671
10/1/22,RealbroadEER,93.43,96.18853379,91.94221833,99.57608813,96.08353796,100.7668384,101.0356189
11/1/22,RealbroadEER,94.47,96.33613368,91.03990388,100.2449993,96.18635216,100.7282268,94.96333446
12/1/22,RealbroadEER,95.05,96.30294289,90.58341368,101.3988821,96.12293635,101.0961069,97.11750083
1/1/23,RealbroadEER,95.05,96.30431604,89.75014587,102.2965263,96.05075317,101.3233662,96.87010378
