Date,Variable,Ground Truth,SZBVAR,Lower,Upper,VAR,CatBoost,Nbeats
4/1/23,Unemploymentrate,8,8.08,7.58,8.59,8.32,8.69,7.94
5/1/23,Unemploymentrate,7.5,7.96,7.08,8.47,8.58,9.36,8.22
6/1/23,Unemploymentrate,7,7.71,6.83,8.56,8.41,9.42,11.38
7/1/23,Unemploymentrate,7.5,7.67,6.74,8.74,8.65,9.15,8.46
8/1/23,Unemploymentrate,6.9,7.80,6.44,8.67,8.94,8.96,6.78
9/1/23,Unemploymentrate,7.5,7.76,6.55,9.08,9.06,8.66,8.76
10/1/23,Unemploymentrate,8.1,7.76,6.45,9.26,8.94,8.47,9.97
11/1/23,Unemploymentrate,7.6,7.85,6.30,9.35,8.92,8.29,6.65
12/1/23,Unemploymentrate,7,7.93,6.22,9.50,8.96,8.37,5.55
1/1/24,Unemploymentrate,7.6,8.13,6.43,10.06,8.72,8.25,3.41
2/1/24,Unemploymentrate,8.1,8.19,6.23,10.19,8.66,8.78,6.93
3/1/24,Unemploymentrate,7.4,8.24,6.40,10.74,8.66,9.07,9.78
4/1/23,RealbroadEER,100.33,99.64,98.13,101.23,100.59,99.59,105.74
5/1/23,RealbroadEER,100.42,99.77,96.59,101.03,101.24,99.78,106.37
6/1/23,RealbroadEER,100.67,99.85,96.78,102.18,102.04,99.59,101.67
7/1/23,RealbroadEER,101.19,100.00,96.32,102.53,102.21,99.24,103.90
8/1/23,RealbroadEER,100.92,100.07,97.45,104.33,102.30,100.26,107.51
9/1/23,RealbroadEER,100.49,100.17,97.87,105.82,101.92,100.61,106.60
10/1/23,RealbroadEER,99.94,100.39,96.68,104.83,101.88,101.47,109.57
11/1/23,RealbroadEER,99.96,100.60,96.80,105.33,101.93,102.24,105.45
12/1/23,RealbroadEER,99.94,100.77,95.75,105.10,101.97,102.89,108.42
1/1/24,RealbroadEER,100.13,101.20,97.29,107.31,102.34,103.35,107.90
2/1/24,RealbroadEER,99.39,101.30,97.36,107.75,102.46,103.49,105.59
3/1/24,RealbroadEER,99.46,101.57,95.86,106.36,102.65,104.53,103.99
4/1/23,ShorttermIR,3.17,2.95,2.81,3.23,3.03,2.26,0.75
5/1/23,ShorttermIR,3.37,2.98,2.67,3.21,3.00,2.16,1.96
6/1/23,ShorttermIR,3.54,3.04,2.74,3.45,2.94,1.82,4.36
7/1/23,ShorttermIR,3.67,3.08,2.61,3.55,2.84,2.06,4.43
8/1/23,ShorttermIR,3.78,3.14,2.75,3.92,2.78,1.78,0.82
9/1/23,ShorttermIR,3.88,3.20,2.56,3.92,2.71,2.02,1.69
10/1/23,ShorttermIR,3.97,3.26,2.40,3.99,2.63,1.90,-1.08
11/1/23,ShorttermIR,3.97,3.32,2.41,4.24,2.52,2.21,2.27
12/1/23,ShorttermIR,3.93,3.36,2.34,4.44,2.45,2.26,3.33
1/1/24,ShorttermIR,3.93,3.43,2.20,4.57,2.36,2.15,1.31
2/1/24,ShorttermIR,3.92,3.48,2.40,5.15,2.32,2.13,3.41
3/1/24,ShorttermIR,3.92,3.50,2.11,5.16,2.28,2.03,-0.11
4/1/23,OilpriceGlobalWTI,79.13,74.12,71.40,78.41,69.17,73.10,79.94
5/1/23,OilpriceGlobalWTI,71.67,73.58,67.69,77.48,66.29,77.43,73.03
6/1/23,OilpriceGlobalWTI,70.31,75.18,69.64,81.58,65.59,80.01,84.22
7/1/23,OilpriceGlobalWTI,75.77,75.16,70.14,83.17,64.53,80.40,81.89
8/1/23,OilpriceGlobalWTI,81.37,76.34,70.04,84.57,64.73,80.87,84.45
9/1/23,OilpriceGlobalWTI,89.24,77.59,69.53,86.05,66.70,79.49,80.81
10/1/23,OilpriceGlobalWTI,85.47,78.03,69.71,87.20,68.54,81.37,83.50
11/1/23,OilpriceGlobalWTI,77.58,78.66,70.42,89.24,71.24,80.38,78.63
12/1/23,OilpriceGlobalWTI,72.02,78.44,70.63,90.05,72.37,76.87,80.43
1/1/24,OilpriceGlobalWTI,74,78.05,70.83,90.66,74.96,81.44,74.63
2/1/24,OilpriceGlobalWTI,77.36,78.38,68.23,89.86,76.08,74.39,81.81
3/1/24,OilpriceGlobalWTI,81.41,76.71,65.71,88.71,75.16,75.19,76.31
4/1/23,CPIinflationrate,8.16,7.77,7.50,7.94,6.79,3.96,0.33
5/1/23,CPIinflationrate,7.64,7.88,7.52,8.19,6.05,3.71,3.59
6/1/23,CPIinflationrate,6.4,8.18,7.48,8.58,5.98,3.51,1.35
7/1/23,CPIinflationrate,5.93,8.27,7.65,9.21,5.94,3.12,4.83
8/1/23,CPIinflationrate,5.44,8.29,7.29,9.54,6.08,3.14,3.58
9/1/23,CPIinflationrate,5.34,8.44,7.01,9.87,6.37,2.93,2.62
10/1/23,CPIinflationrate,1.69,8.56,6.23,9.87,6.68,3.24,2.88
11/1/23,CPIinflationrate,0.67,8.62,5.81,10.21,6.94,2.93,6.21
12/1/23,CPIinflationrate,0.59,8.64,5.21,10.64,7.08,2.82,0.98
1/1/24,CPIinflationrate,0.84,8.64,4.65,10.99,7.23,2.66,2.54
2/1/24,CPIinflationrate,0.75,8.67,4.26,11.71,7.31,2.36,6.03
3/1/24,CPIinflationrate,1.18,8.66,3.53,11.96,7.38,2.22,6.13
