Date,Variable,Ground Truth,SZBVAR,Lower,Upper,VAR,CatBoost,Nbeats
4/1/22,Unemploymentrate,2.7,2.648206524,2.541692449,2.78623278,2.660440214,2.846377235,1.591043093
5/1/22,Unemploymentrate,2.8,2.685707153,2.156422325,2.842257235,2.673437759,2.913777051,5.771078539
6/1/22,Unemploymentrate,2.7,2.724132691,1.985494617,3.431098312,2.699000728,2.874472848,8.294261553
7/1/22,Unemploymentrate,2.5,2.737428783,1.946476956,4.303620766,2.709272415,2.98773976,3.644652484
8/1/22,Unemploymentrate,2.6,2.748108497,0.932182251,4.102999425,2.722273956,2.925035844,2.706046406
9/1/22,Unemploymentrate,2.7,2.750062517,0.151307279,4.038293687,2.716850839,2.884125361,2.002993729
10/1/22,Unemploymentrate,2.6,2.76739323,0.004024977,4.665724841,2.734268864,2.938017962,1.951229323
11/1/22,Unemploymentrate,2.4,2.773879793,0.01136163,5.483139102,2.730181686,3.028335662,3.45766849
12/1/22,Unemploymentrate,2.3,2.770194803,0.923008212,7.21221176,2.722335468,3.03961448,1.955245514
1/1/23,Unemploymentrate,2.4,2.77285442,0.592571958,7.538262717,2.730035091,2.929168261,7.3588857
2/1/23,Unemploymentrate,2.5,2.766598424,1.559764788,9.320468907,2.727404759,2.963137582,-0.338638119
3/1/23,Unemploymentrate,2.8,2.776334375,1.033326262,9.537505797,2.742752105,3.041498383,2.965991328
4/1/23,Unemploymentrate,2.7,2.769174534,0.628598204,10.03134423,2.737547954,3.053766191,4.715448516
5/1/23,Unemploymentrate,2.7,2.75781239,1.664172577,12.10974371,2.71676515,3.057515948,4.533865786
6/1/23,Unemploymentrate,2.6,2.753533936,1.598630433,13.01700598,2.710498961,3.207705501,3.261049454
7/1/23,Unemploymentrate,2.6,2.741876047,0.783211197,13.01996348,2.690920913,3.175693993,4.062031299
8/1/23,Unemploymentrate,2.7,2.731164115,0.007216804,13.34168863,2.676406386,3.146623941,7.225028053
