Date,Variable,Ground Truth,SZBVAR,Lower,Upper,VAR,CatBoost,Nbeats
4/1/23,Unemploymentrate,3.8,3.682255905,3.527063812,3.838843374,3.538647066,3.890198293,1.653741026
5/1/23,Unemploymentrate,4.1,3.685326753,3.44187862,3.90900522,3.467370494,3.912927719,3.192674842
6/1/23,Unemploymentrate,4.3,3.674981117,3.211470707,3.844265441,3.448145975,3.968602017,6.617016509
7/1/23,Unemploymentrate,4.4,3.681466786,3.154646945,4.036628707,3.446936309,4.082497666,3.037715861
8/1/23,Unemploymentrate,4.2,3.669738068,3.101980017,4.250298334,3.445506313,4.257081326,6.734428379
9/1/23,Unemploymentrate,4.1,3.662915613,2.849176286,4.294931416,3.437843741,4.410123025,6.233987804
10/1/23,Unemploymentrate,4,3.672803003,2.682708236,4.420175606,3.439398039,4.500305125,4.573516444
11/1/23,Unemploymentrate,3.8,3.681069187,2.325194626,4.470874249,3.451973186,4.488660722,6.850238309
12/1/23,Unemploymentrate,4,3.690142891,2.408071859,4.813787401,3.460107928,4.77661075,5.196286196
1/1/24,Unemploymentrate,4.2,3.72640494,2.165875352,4.99162261,3.506678025,4.67763243,3.955762957
2/1/24,Unemploymentrate,4.3,3.725687745,1.724425438,4.894987889,3.525108315,4.67949134,2.906531724
3/1/24,Unemploymentrate,4.3,3.755466546,1.713877359,5.21158585,3.539129943,4.555263583,4.732489869
4/1/23,RealbroadEER,105.01,102.9774026,100.9007348,104.9365475,102.593184,104.9236903,109.7127701
5/1/23,RealbroadEER,106.86,102.7534436,98.62241449,104.5054318,102.3496417,103.7425754,112.7818292
6/1/23,RealbroadEER,108.87,102.5879631,98.7374313,105.7160047,101.787674,103.3546258,110.0404078
7/1/23,RealbroadEER,109.19,102.2997353,97.53261377,105.5909436,101.3268372,104.0648829,105.7616158
8/1/23,RealbroadEER,108.78,102.2535712,98.76535302,107.8072328,100.9901964,102.953311,111.010239
9/1/23,RealbroadEER,108.1,102.040686,98.85598015,109.1818816,100.6113336,103.1033534,109.9447251
10/1/23,RealbroadEER,106.84,101.4691702,96.54721985,107.3969286,99.98642034,103.3860914,113.0457516
11/1/23,RealbroadEER,107.17,100.937865,95.8758252,107.0989143,99.34232715,102.244731,109.2382958
12/1/23,RealbroadEER,108.35,100.6093171,96.77845647,108.8959092,98.87342031,104.3199356,109.5967413
1/1/24,RealbroadEER,108.34,99.33421086,93.77954812,106.9502429,97.76927525,104.1705539,111.4391962
2/1/24,RealbroadEER,108.49,99.22095274,93.46699657,106.8651471,97.36155832,103.9715837,111.4987168
3/1/24,RealbroadEER,109.08,98.60149362,91.01551462,104.7522151,96.75668768,104.7728864,108.2069921
4/1/23,ShorttermIR,4.52,4.414233907,4.289169721,4.625442025,4.35675156,3.47928849,1.271912791
5/1/23,ShorttermIR,4.73,4.461043043,4.261319811,4.771685786,4.32437904,3.259251469,1.099987241
6/1/23,ShorttermIR,5.09,4.55507612,4.192083464,4.995019151,4.29115906,3.097988975,1.773396416
7/1/23,ShorttermIR,5.49,4.614888985,4.172451119,5.307793003,4.25748219,3.144779539,1.408483751
