Date,Variable,Ground Truth,SZBVAR,Lower,Upper,VAR,CatBoost,Nbeats
4/1/22,Unemploymentrate,3.5,3.650625253,3.539161291,3.795065821,3.550813845,4.803030345,4.500132106
5/1/22,Unemploymentrate,3.6,3.69567185,3.499988459,3.893528342,3.519367899,4.880068577,7.671587601
6/1/22,Unemploymentrate,3.6,3.740433259,3.49221599,3.977295392,3.486827146,5.118407224,6.528442251
7/1/22,Unemploymentrate,3.6,3.764659166,3.460628141,4.073603582,3.453089764,5.128934053,9.880880962
8/1/22,Unemploymentrate,3.9,3.788179263,3.411915217,4.144643392,3.429253901,5.518700049,7.13007352
9/1/22,Unemploymentrate,4,3.801468819,3.234131663,4.167543857,3.415491957,5.486449112,6.04454835
10/1/22,Unemploymentrate,3.9,3.823532535,3.353501354,4.45571177,3.403093638,5.686123167,6.776787081
11/1/22,Unemploymentrate,3.9,3.839502432,3.23019546,4.520452733,3.397926502,5.646380407,6.463298053
12/1/22,Unemploymentrate,3.8,3.852998369,3.111436388,4.621968681,3.395607264,5.919865452,6.491734676
1/1/23,Unemploymentrate,3.9,3.867797882,3.174837325,4.944590837,3.385432938,5.687678993,5.275124646
2/1/23,Unemploymentrate,3.9,3.875308247,2.961146139,4.978595085,3.363238924,5.672497727,8.614143357
3/1/23,Unemploymentrate,3.7,3.890338308,2.546631269,4.804649339,3.332346228,5.651904667,7.453848109
4/1/23,Unemploymentrate,3.8,3.894195555,2.487227951,4.91872094,3.294895808,5.561941769,6.109537342
5/1/23,Unemploymentrate,4.1,3.896692484,2.531957222,5.201442383,3.262360967,5.825656739,5.261219735
6/1/23,Unemploymentrate,4.3,3.905748984,2.086001588,4.977747133,3.238339601,5.54847102,7.210515283
7/1/23,Unemploymentrate,4.4,3.909664191,2.318150065,5.380890734,3.220730123,5.877957904,8.120516336
8/1/23,Unemploymentrate,4.2,3.90887384,2.543037282,5.802057845,3.195576707,6.040363601,7.529801339
9/1/23,Unemploymentrate,4.1,3.916173346,2.336374274,5.791461308,3.165509215,5.991500075,5.079402275
10/1/23,Unemploymentrate,4,3.920283861,1.926295557,5.566528847,3.136751147,5.965931271,9.591570463
11/1/23,Unemploymentrate,3.8,3.909450372,1.733719215,5.603755791,3.100083123,6.003098779,5.262378987
12/1/23,Unemploymentrate,4,3.916406937,1.802035052,5.864771638,3.072525989,6.032904048,6.784012865
1/1/24,Unemploymentrate,4.2,3.924280268,1.170173194,5.483374922,3.048978584,5.99870837,4.175492357
2/1/24,Unemploymentrate,4.3,3.915486366,1.021465463,5.543117681,3.003473841,5.803884335,7.943314568
3/1/24,Unemploymentrate,4.3,3.903619644,1.21349727,5.853891805,2.932726697,5.737653547,3.692647494
4/1/22,RealbroadEER,105.16,103.2111615,101.8471548,104.5176016,103.676132,104.3607286,102.1180336
5/1/22,RealbroadEER,103.36,102.4476287,100.0092261,103.9520142,102.792669,103.9012639,104.7546777
6/1/22,RealbroadEER,102.62,101.8004152,98.80833795,103.504939,101.932362,104.3058607,101.7223399
7/1/22,RealbroadEER,102.62,101.4820894,98.83216178,104.1574576,101.250065,103.7081171,104.3057965
8/1/22,RealbroadEER,103.03,101.3452685,98.51050787,104.5710621,100.968951,104.8407032,101.8501474
9/1/22,RealbroadEER,99.26,100.9702081,98.26058634,104.7459675,100.529175,104.3485163,106.134215
10/1/22,RealbroadEER,101.31,100.7608125,97.20021816,104.1353932,100.288105,105.5898951,105.862288
11/1/22,RealbroadEER,102.95,100.2387073,95.96846159,103.5323368,99.7865782,105.9141942,97.6351093
12/1/22,RealbroadEER,104.35,100.1658764,95.52782934,103.3667167,99.7240968,105.6077088,104.7601142
1/1/23,RealbroadEER,101.94,100.1934547,95.9476388,104.2542218,99.7589974,107.0102683,103.1500792
2/1/23,RealbroadEER,102.15,100.380306,95.24184978,103.9974284,99.9256794,106.5911939,102.2458069
3/1/23,RealbroadEER,103.09,100.486633,95.29549117,104.2928776,100.016105,106.8279548,98.4844847
4/1/23,RealbroadEER,105.01,100.7998153,95.71181581,105.2930244,100.23204,107.5517907,104.4968052
5/1/23,RealbroadEER,106.86,100.9386788,96.72727507,106.6214658,100.388348,107.8294815,102.7262013
6/1/23,RealbroadEER,108.87,100.9796935,96.05852423,106.2701791,100.502908,106.7938649,99.09267431
7/1/23,RealbroadEER,109.19,100.9276422,96.43338545,107.1864995,100.503465,107.4684245,102.2415493
8/1/23,RealbroadEER,108.78,101.0688472,96.09876783,107.0833064,100.641386,106.6820809,100.6690113
9/1/23,RealbroadEER,108.1,101.0395532,95.18287303,106.3647387,100.656485,106.6335125,104.444441
10/1/23,RealbroadEER,106.84,101.0878866,96.44210704,107.9826881,100.702579,106.9458955,102.7984937
