Date,Variable,Ground Truth,SZBVAR,Lower,Upper,VAR,CatBoost,Nbeats
4/1/23,Unemploymentrate,3.1,3.61305082,3.160369122,4.069802707,3.680184795,3.810551667,4.402154615
5/1/23,Unemploymentrate,3.4,3.70454463,2.8667598,4.256578756,3.772464906,4.110056709,5.751233968
6/1/23,Unemploymentrate,3.8,3.766157866,2.624276824,4.669579014,3.896982149,4.499401436,10.27386613
7/1/23,Unemploymentrate,3.8,3.896775095,2.114886778,5.156142024,4.000988469,4.43196234,8.777675406
8/1/23,Unemploymentrate,3.9,3.908105181,2.248136073,5.932203172,4.032130444,4.469722499,7.613693581
9/1/23,Unemploymentrate,3.6,3.986849982,2.155196202,6.468474144,4.055541863,4.969403936,9.19525961
10/1/23,Unemploymentrate,3.6,4.162202361,2.030351134,7.13656182,4.155720544,5.075054727,6.226985715
11/1/23,Unemploymentrate,3.5,4.339267877,1.017716269,7.067369243,4.289414285,5.747014014,4.459239373
12/1/23,Unemploymentrate,3.5,4.460580272,0.116331192,7.310405429,4.347323331,5.575355902,5.805489285
1/1/24,Unemploymentrate,4.1,4.859506933,3.248125439,11.48748768,4.686176669,5.726249438,6.510318916
2/1/24,Unemploymentrate,4.2,4.892545308,4.610847965,13.54407446,4.674403557,5.990547409,4.449088161
3/1/24,Unemploymentrate,3.9,5.118568539,2.939417216,12.7699629,4.784336339,5.097104863,9.369622313
4/1/23,RealbroadEER,105.96,106.8543111,106.0023997,107.6963472,106.6626993,103.7406551,106.2089551
5/1/23,RealbroadEER,106.76,107.0845576,105.4404938,107.8647665,106.2926796,103.1960116,108.8351905
6/1/23,RealbroadEER,107.25,106.9300085,105.2223,108.1085526,105.8710238,103.7434992,107.6598396
7/1/23,RealbroadEER,106.24,106.9698936,105.5979401,108.9872681,105.7093062,103.2474196,105.1830054
8/1/23,RealbroadEER,107.71,106.762924,105.5227635,109.2944044,105.4874553,102.2805605,105.1220467
9/1/23,RealbroadEER,109.13,106.5579239,104.8372331,109.1418247,105.167944,101.9772872,105.2041271
10/1/23,RealbroadEER,110.46,106.3190933,104.7640514,109.4769922,104.7594431,103.245285,107.4888531
11/1/23,RealbroadEER,108.43,105.9727468,103.7927582,108.7980073,104.2281126,103.6745603,105.871351
12/1/23,RealbroadEER,106.66,105.8892778,103.7101343,109.0113185,103.8844937,103.6158162,107.0651575
1/1/24,RealbroadEER,107.43,105.2402529,101.9711524,107.7886398,103.1000034,103.8714307,105.9229594
2/1/24,RealbroadEER,108.05,105.1552548,101.7573583,107.8923701,102.6512118,102.2941467,104.9876831
3/1/24,RealbroadEER,108.39,105.2466703,102.9651894,109.44682,102.5578966,102.1371215,104.37167
4/1/23,ShorttermIR,5.03,4.919479093,4.805667952,5.111884572,4.914117459,3.569549858,1.872885716
5/1/23,ShorttermIR,5.15,4.907829844,4.702054357,5.111110277,4.83463721,3.183982288,1.842131551
6/1/23,ShorttermIR,5.22,4.905529043,4.637350294,5.229507671,4.74122525,2.900893102,1.820076622
7/1/23,ShorttermIR,5.35,4.878913236,4.417908164,5.213222549,4.670284562,2.946428078,1.340090536
8/1/23,ShorttermIR,5.44,4.892017765,4.444894906,5.523911201,4.625143322,2.972950535,2.509190193
9/1/23,ShorttermIR,5.49,4.878637118,4.346696446,5.69812184,4.586394291,3.114788813,0.105256954
10/1/23,ShorttermIR,5.46,4.815919283,4.283276422,5.903059807,4.514961545,3.319332051,-0.816774185
