Date,variable,Actual,var,varmlp,bigvar,szbvar,szbvarnnx,szbvar_finetuned,tvar,bsvar,msvar,VES,VGARCH,Nbeatsx,LGBM,DTS_CB,DTS_XGB,NHITS,TSMixer,BRNN,XGB,CatBoost,TiDE,TFT,varnnx,SZBVAR_Nbeats_LGBM,BSVAR_SZBVAR_TVAR,LSTNetx,WLSTNetx
4/1/23,Unemploymentrate,5.2,5.46,5.428522299,7.324179104,5.393915187,6.221080998,5.321021364,5.35179393,5.4,7.358378558,5.763345206,5.416885279,7.601004982,6.130960905,7.3927426,7.20436,7.066420499,7.157782985,7.424625597,5.660448,6.150146564,6.137644116,6.782265878,5.699836433,6.375293691,5.381903039,5.5452,6.846981609
5/1/23,Unemploymentrate,5.2,5.54,5.448096376,7.317385609,5.57265686,4.955197257,5.406251349,5.257151148,5.3,7.358975803,5.822268556,5.442376302,6.681986128,6.981022858,9.846479,11.076332,6.502788516,7.080259277,7.406360329,6.125422,6.016079669,5.227820017,5.83464301,5.426816271,6.411888615,5.376602669,5.5055585,6.934472474
6/1/23,Unemploymentrate,5.2,5.53,5.467718007,7.312064372,5.514234818,4.825217573,5.339979306,5.23170977,5.35,7.357984479,5.878024764,5.467736326,8.775664627,6.330792616,10.435168,13.162738,8.371599983,7.020986362,7.373097716,5.712221,6.021256088,5.358321838,7.317975316,5.451989948,6.87356402,5.365314863,6.2232637,6.628742243
7/1/23,Unemploymentrate,5.9,5.56,5.487339984,7.304339191,5.621004222,5.354910057,5.38679886,5.259793117,5.325,7.358418041,5.930784066,5.492966022,7.230306617,7.165554556,9.517361,13.002001,8.168676933,7.249480518,7.375499691,5.663565,6.647711175,6.88679294,7.320429308,5.846304952,6.672288465,5.401932446,5.9449334,7.262583244
8/1/23,Unemploymentrate,6.3,5.49,5.506961963,7.29778498,5.624679602,5.356559299,5.286123527,5.308167094,5.3375,7.359869017,5.980707544,5.51806606,6.67357327,7.815446321,8.0411415,9.022636,8.637609182,7.760967592,7.344508897,5.7736664,6.295314565,5.218795042,7.882683981,5.437039401,6.704566398,5.423448899,6.1585546,8.2346138
9/1/23,Unemploymentrate,5.2,5.47,5.526583942,7.294793293,5.687390944,5.781560738,5.272983208,5.364688372,5.33125,7.359869885,6.027947625,5.543037108,6.820933003,7.17862763,6.6207705,6.898621,9.880635557,7.830091204,7.330506004,6.275604,6.352979454,6.953284493,5.046217749,5.260829432,6.562317192,5.461109772,7.0929174,6.312840703
10/1/23,Unemploymentrate,5.3,5.55,5.546205921,7.291195661,5.897581874,5.749887929,5.391610689,5.425908599,5.334375,7.359868512,6.072648543,5.567879827,8.023888666,7.236207165,6.549254,5.9784517,9.664791732,8.313621867,7.333456274,5.8134766,6.325932465,7.102692851,8.129533361,5.617954642,7.052559235,5.552621824,6.955566,6.790922397
11/1/23,Unemploymentrate,5.3,5.61,5.5658279,7.286691768,6.031617904,6.04760321,5.464857035,5.492304617,5.3328125,7.3598689,6.114946777,5.592594878,5.681319104,7.708097054,6.483821,6.2900753,9.205171501,8.804211557,7.328050027,6.05928,6.821421325,8.124412743,6.045645619,5.558809339,6.473678021,5.618911674,7.1262455,6.712399077
12/1/23,Unemploymentrate,5.3,5.67,5.58544988,7.281577415,6.201239843,6.254687359,5.556010679,5.565335085,5.33359375,7.359869999,6.154971473,5.617182916,8.692346251,8.260633913,7.7675757,9.882385,9.685693931,8.955861399,7.317135449,8.331574,8.344899898,6.803285904,8.48159448,5.488308276,7.718073336,5.700056226,7.2252975,6.83848044
1/1/24,Unemploymentrate,6.1,5.89,5.605071859,7.272567198,6.477741301,6.292542347,5.824503483,5.645214212,5.333203125,7.359870001,6.192844834,5.641644594,5.511628354,9.279752164,8.632845,9.248408,9.060412834,8.595812164,7.308402295,12.366151,8.956129289,8.406611493,5.865551397,5.890676287,7.089707273,5.818719546,7.6708,7.169042507
