Date,variable,Actual,var,varmlp,bigvar,szbvar,szbvarnnx,szbvar_finetuned,tvar,bsvar,msvar,VES,VGARCH,Nbeatsx,LGBM,DTS_CB,DTS_XGB,NHITS,TSMixer,BRNN,XGB,CatBoost,TiDE,TFT,varnnx,SZBVAR_Nbeats_LGBM,BSVAR_SZBVAR_TVAR,LSTNetx,WLSTNetx
4/1/22,Unemploymentrate,8.2,8.813543898,8.513159721,9.699071207,8.407546846,8.41000137,8.49496157,8.71773173,8.5,9.692363628,7.900920896,8.638844982,7.340989991,8.571300872,8.623835,8.594553,9.702353627,9.366851064,9.710879549,7.970458,8.619386027,10.42199713,9.946948426,8.363333543,8.10661257,8.541759525,8.5007,9.071196261
5/1/22,Unemploymentrate,7.8,8.727460889,8.517162474,9.695353162,8.386570882,9.21811455,8.495611138,8.77868043,8.7,9.716826684,8.008862791,8.703153793,10.65992239,8.524047698,8.695543,9.321528,9.913681679,9.655225656,9.692181319,7.915378,8.992091595,10.81616718,8.083998657,8.209504685,9.190180323,8.621750437,8.742574,8.571872824
6/1/22,Unemploymentrate,7.8,8.330580504,8.513493897,9.690694812,8.363817711,9.643617345,8.493038834,8.064623725,8.6,9.683531794,8.110633661,8.764757374,10.34634728,8.965211534,9.245764,9.295424,9.339455927,9.193591016,9.684886337,8.73555,9.367480196,10.26308716,11.08512794,8.18715241,9.225125508,8.342813812,8.170649,8.857746715
7/1/22,Unemploymentrate,7.4,8.001366521,8.502519638,9.684164456,8.414243193,9.446250081,8.503037041,7.532478838,8.65,9.696202865,8.206586302,8.823769523,8.608609998,9.222817263,9.386345,10.492767,9.615410759,9.574822332,9.686993123,8.092772,9.432747641,10.22058021,11.0979944,8.313330391,8.748556818,8.198907344,7.7441764,8.425669895
8/1/22,Unemploymentrate,7.7,8.239184977,8.497815947,9.681019454,8.420317695,7.828503493,8.505377365,6.987684584,8.625,9.720793721,8.297053342,8.880299252,7.920407757,8.842655131,9.161129,9.018303,9.687877519,9.887486543,9.685307144,7.6648927,9.680017251,12.36791174,11.66361165,8.313691999,8.394460194,8.01100076,7.919066,8.972612678
9/1/22,Unemploymentrate,7.9,8.482066364,8.492616803,9.680031898,8.538401424,8.797727203,8.530454485,14.55354564,8.6375,9.720984518,8.382348392,8.934450987,8.636021104,9.352083646,9.492655,8.563142,9.652682213,9.719992182,9.678308374,9.037887,9.839239276,10.35594226,7.747331724,8.299294295,8.842168725,10.57648235,8.154532,8.904082376
10/1/22,Unemploymentrate,8.1,8.632939832,8.485567486,9.674706919,8.631907999,9.374612995,8.536752034,14.01472066,8.63125,9.718711673,8.462767135,8.986324761,10.29929917,9.025164713,10.065599,7.971741,9.250976691,9.425504518,9.677905864,9.894632,9.935456543,8.472838074,12.29746158,8.552224185,9.318790627,10.42595955,8.582779,9.478138229
11/1/22,Unemploymentrate,7.8,8.662202721,8.477684275,9.670294247,8.764823399,12.70622045,8.566001414,12.56066136,8.634375,9.720654261,8.538588347,9.0360164,9.619258539,8.845924075,9.736704,8.215406,8.267825977,9.393861319,9.674128673,9.535779,9.538027236,10.28132072,8.917874364,8.476899983,9.076668671,9.98661992,9.140287,9.108349931
12/1/22,Unemploymentrate,7.9,8.780607909,8.469338805,9.666487109,8.786565622,13.22880159,8.579293998,11.46088004,8.6328125,9.720818027,8.61007487,9.083617697,7.953095556,10.00163008,9.970528,9.0361395,8.784820984,10.13613906,9.668331517,10.861141,9.976196665,11.02294328,13.08486254,8.618470527,8.913763753,9.626752721,9.602475,9.464053881
1/1/23,Unemploymentrate,8.4,8.885636776,8.460532979,9.663596976,8.843147751,8.976301738,8.584841338,12.31762505,8.63359375,9.720778674,8.677474517,9.129216587,10.33314375,9.784341725,10.319314,10.738207,8.949100912,10.94294994,9.660524023,11.874038,10.4777281,11.75983954,9.299256207,8.654271059,9.653544409,9.931455517,9.739853,9.63127988
2/1/23,Unemploymentrate,8.3,8.926436188,8.451279589,9.657911518,8.782986829,9.011011235,8.588051832,12.65468397,8.63320313,9.720618767,8.741020934,9.172897301,9.668025739,9.483487321,10.410519,11.09304,8.966460631,10.9874706,9.656572459,10.855359,10.65199984,12.24553619,7.895353409,8.628693468,9.311499963,10.02362464,9.9966,9.886421278
3/1/23,Unemploymentrate,8.2,8.910170696,8.442015418,9.651279665,8.720778193,8.743481766,8.584434686,12.27562488,8.63339844,9.720778764,8.80093441,9.214740532,9.908371833,8.754419722,10.365409,10.088763,8.681898129,11.2522807,9.656942054,11.6354265,10.69325695,12.83745069,12.76145508,8.769306238,9.127856583,9.876600504,10.29879,9.825482473
4/1/23,Unemploymentrate,8,8.954702007,8.432744036,9.644936877,8.692181549,8.72189969,8.584911765,12.09839519,8.63330078,9.720754365,8.857422639,9.254823575,8.008013035,9.723540949,10.521764,11.172472,9.178866185,10.9799477,9.652330972,11.313322,10.69192376,11.9199456,10.8002948,8.694926946,8.807911844,9.807959173,10.517594,9.761794183
5/1/23,Unemploymentrate,7.5,8.97665342,8.423469003,9.640432038,8.599022411,8.650730266,8.592979028,12.27939779,8.63334961,9.720751866,8.910681444,9.293220475,9.409143436,10.12568634,10.45394,10.285088,9.548252133,10.8823934,9.639668393,12.108324,11.13126947,11.9478709,9.291860597,8.717338986,9.377950729,9.837256604,10.598968,9.290989214
6/1/23,Unemploymentrate,7,8.999467262,8.4141938,9.634984459,8.48874684,8.526569981,8.598555789,12.5181994,8.6333252,9.720740593,8.960895449,9.33000216,8.074620427,9.655375774,10.265233,10.444117,9.057740582,11.17169135,9.63932558,10.651683,10.76092837,12.64834571,11.77468899,8.680883981,8.739581014,9.88009048,10.714309,9.185269976
7/1/23,Unemploymentrate,7.5,9.079670388,8.404918511,9.628281625,8.515511306,8.500290927,8.619131069,12.62741503,8.6333374,9.720751388,9.008238725,9.365236578,9.622800829,9.757334971,10.1747465,11.226585,9.123459489,11.09976993,9.63356194,11.419685,10.30663177,11.36659154,11.35107453,8.794669822,9.298549035,9.925421245,10.949583,9.163298771
8/1/23,Unemploymentrate,6.9,9.170417203,8.395643191,9.625273209,8.531928026,8.584538559,8.63098375,12.75286618,8.6333313,9.720749133,9.052875391,9.398988816,9.889006642,9.165105123,10.30864,11.092234,9.952895622,11.03483538,9.627073841,12.345368,10.62253405,11.89736011,8.099215185,8.82994721,9.195346597,9.972708502,11.214107,9.219377258
9/1/23,Unemploymentrate,7.5,9.242136083,8.386367869,9.624422661,8.554409464,8.541817248,8.639580787,12.96789293,8.63333435,9.720749113,9.094960185,9.431321224,9.347543679,9.575619773,10.538153,9.781418,10.16297373,10.88761567,9.61671962,13.087711,11.09728465,13.56421984,11.41956167,8.988501966,9.159190972,10.05187891,11.488273,9.49952724
10/1/23,Unemploymentrate,8.1,9.30273547,8.377092545,9.618925518,8.593817729,8.591980003,8.653492615,13.19582124,8.63333282,9.720748341,9.134638996,9.462293528,11.32090247,9.661040878,11.252832,11.478516,9.541965071,11.31028875,9.607276188,12.544056,10.98903391,13.16302803,9.656812789,9.02092046,9.858587026,10.1409906,11.773368,9.85723893
11/1/23,Unemploymentrate,7.6,9.310220541,8.367817222,9.61403055,8.633276718,8.525602405,8.677550173,13.38901385,8.63333359,9.720749002,9.172049375,9.491962944,8.087695624,9.543232422,10.790504,10.210567,9.426187721,10.47189749,9.604299976,12.364687,10.61204636,12.96834526,10.40271005,8.985977612,8.754734921,10.21854139,11.987035,9.573891824
12/1/23,Unemploymentrate,7,9.300526842,8.358541898,9.609739623,8.540707111,8.500809809,8.706379772,13.56690427,8.63333321,9.720748853,9.207321006,9.520384278,10.7327123,9.878691747,10.734095,10.647036,8.934248164,10.7634336,9.598067107,11.278769,10.91750318,13.43099578,9.173674962,9.273180697,9.717370386,10.24698153,12.135022,9.346233192
1/1/24,Unemploymentrate,7.6,9.28372072,8.349266575,9.606364204,8.367273664,8.264799696,8.726067532,13.74666141,8.6333334,9.720748864,9.240576162,9.547610034,8.982241337,10.55402492,10.888606,12.272795,9.802489521,11.1046031,9.579562908,12.482892,11.08688574,13.74525517,10.17954284,9.168378185,9.301179974,10.24908949,12.275947,9.528571239
