Date,variable,Actual,var,varmlp,bigvar,szbvar,szbvarnnx,szbvar_finetuned,tvar,bsvar,msvar,VES,VGARCH,Nbeatsx,LGBM,DTS_CB,DTS_XGB,NHITS,TSMixer,BRNN,XGB,CatBoost,TiDE,TFT,varnnx,SZBVAR_Nbeats_LGBM,BSVAR_SZBVAR_TVAR,LSTNetx,WLSTNetx
4/1/22,Unemploymentrate,2.7,2.660440214,2.598711909,3.943653251,2.654942353,2.142345315,2.648206524,2.543635554,2.6,3.402303079,2.607192128,2.604038522,1.591043093,2.640012723,2.7796211,2.6689053,4.138694835,4.031886759,4.034169598,2.5473518,2.846377235,4.011977688,3.356244524,2.731354548,2.295332723,2.599525969,2.6776984,3.987780257
5/1/22,Unemploymentrate,2.8,2.673437759,2.59751255,3.94626518,2.700022074,2.983519612,2.685707153,2.550940001,2.6,3.509076943,2.607441089,2.607606567,5.771078539,2.489936434,2.8863444,2.4760368,4.189960328,4.131574144,4.032692978,2.4741886,2.913777051,3.937647596,2.769609933,2.66833102,3.653679016,2.616987358,2.687066,3.913432962
6/1/22,Unemploymentrate,2.7,2.699000728,2.596165483,3.949194794,2.746052082,3.065337465,2.724132691,2.560618007,2.6,3.468544322,2.607676978,2.61114396,8.294261553,2.637937981,2.8439798,2.3683217,3.296327823,4.126182698,4.031856224,2.549319,2.874472848,2.811967626,3.354856869,2.734340084,4.559417205,2.635556696,2.5355184,3.58792424
7/1/22,Unemploymentrate,2.5,2.709272415,2.594742965,3.952133477,2.767332702,2.632171386,2.737428783,2.576145914,2.6,3.460609983,2.607900482,2.614650964,3.644652484,2.616865693,2.8441787,2.6329923,3.258577115,4.198682316,4.03016494,2.9556274,2.98773976,2.790005429,3.249840317,2.6907515,3.00961696,2.647826205,2.502383,4.045127785
8/1/22,Unemploymentrate,2.6,2.722273956,2.593185194,3.954462064,2.78526315,2.150870332,2.748108497,2.590999539,2.6,3.733607362,2.608112252,2.618127839,2.706046406,2.645873879,2.9257545,2.6678104,2.303498746,4.201101473,4.033774712,3.1329744,2.925035844,4.635079381,3.306393953,2.694867988,2.712394478,2.65875423,2.516759,3.754187518
9/1/22,Unemploymentrate,2.7,2.716850839,2.591633191,3.95679786,2.795296869,2.512197524,2.750062517,2.604472013,2.6,3.784861444,2.608312903,2.621574845,2.002993729,2.427454567,2.8669982,2.522504,2.926642697,4.095825372,4.029731966,2.6513395,2.884125361,2.061372841,1.933298901,2.646611974,2.408581722,2.666589627,2.6592607,3.913763452
10/1/22,Unemploymentrate,2.6,2.734268864,2.589989393,3.959140887,2.819870707,2.960102294,2.76739323,2.615769848,2.6,3.771736238,2.608503019,2.624992238,1.951229323,2.417389651,2.967418,2.5577168,2.487272367,4.097456804,4.026872061,2.6947103,2.938017962,2.48661612,3.28489708,2.74653883,2.396163227,2.678546852,2.5967474,3.744512461
11/1/22,Unemploymentrate,2.4,2.730181686,2.588241898,3.961181571,2.834876214,3.4633147,2.773879793,2.624900628,2.6,3.767242952,2.608683153,2.628380273,3.45766849,2.439227804,2.8535786,2.5715933,2.460715246,4.021774567,4.02319223,2.8871076,3.028335662,2.961301224,2.598684722,2.716964714,2.910590836,2.686592281,2.5519898,3.523142354
12/1/22,Unemploymentrate,2.3,2.722335468,2.586390817,3.963538171,2.83819026,2.522459541,2.770194803,2.632005206,2.6,3.857044336,2.60885383,2.631739202,1.955245514,2.421800475,2.8026013,2.543732,2.853182283,4.074929155,4.022031091,2.9328265,3.03961448,3.092879549,3.425759481,2.766829321,2.40507875,2.690065155,2.5482824,3.598554865
1/1/23,Unemploymentrate,2.4,2.730035091,2.584633851,3.964973273,2.848067937,2.887579616,2.77285442,2.637337998,2.6,3.879837283,2.609015546,2.635069275,7.3588857,2.33267673,2.8896818,2.7561512,2.270673626,3.9625414,4.022183551,3.085098,2.929168261,3.025336662,2.326697423,2.782684453,4.179876789,2.695135312,2.5828907,3.606724802
2/1/23,Unemploymentrate,2.5,2.727404759,2.582972267,3.966722416,2.849370327,2.831910151,2.766598424,2.641163879,2.6,3.876729622,2.609168771,2.638370739,-0.338638119,2.346067546,2.9175572,2.778378,3.71129548,4.295370532,4.023668821,2.9614677,2.963137582,3.63047814,1.447213508,2.741346588,1.618933251,2.696844735,2.6521807,3.921987545
3/1/23,Unemploymentrate,2.8,2.742752105,2.581380384,3.968167378,2.868109796,2.865695071,2.776334375,2.643736078,2.6,3.875506187,2.609313951,2.641643842,2.965991328,2.365504766,2.9354396,2.7765143,4.716913365,4.41460762,4.020970968,2.5964084,3.041498383,2.909115745,3.266360616,2.716119873,2.733201963,2.703948625,2.6436493,3.945328832
4/1/23,Unemploymentrate,2.7,2.737547954,2.579825973,3.969616812,2.868948283,2.820020705,2.769174534,2.64528004,2.6,3.903579665,2.609451509,2.644888825,4.715448516,2.473681477,2.9472446,2.8241472,4.714099015,4.600548562,4.017488973,3.1755295,3.053766191,2.827773288,2.963815262,2.723814906,3.352692759,2.704742774,2.6600006,4.014660558
