Date,variable,Actual,var,varmlp,bigvar,szbvar,szbvarnnx,szbvar_finetuned,tvar,bsvar,msvar,VES,VGARCH,Nbeatsx,LGBM,DTS_CB,DTS_XGB,NHITS,TSMixer,BRNN,XGB,CatBoost,TiDE,TFT,varnnx,SZBVAR_Nbeats_LGBM,BSVAR_SZBVAR_TVAR,LSTNetx,WLSTNetx
4/1/22,Unemploymentrate,3.5,3.550813845,3.581079172,5.861609907,3.720085625,4.116010144,3.650625253,3.722745659,3.6,4.704138779,3.84504864,3.564356872,4.500132106,4.110528567,4.7866263,4.041463,5.889483337,7.180006401,5.939294646,4.06823,4.803030345,3.661943595,7.447064078,3.61121818,4.110248766,3.680943761,3.5965328,4.846581027
5/1/22,Unemploymentrate,3.6,3.519367899,3.561812491,5.853131919,3.832458538,3.828235981,3.69567185,3.832900789,3.7,4.772698535,3.836258615,3.564356821,7.671587601,4.182598518,4.9897766,4.60808,5.780002582,6.539434554,5.923477027,4.108137,4.880068577,5.50638089,6.947927035,3.536082639,5.228881552,3.788453109,3.5541449,5.031337164
6/1/22,Unemploymentrate,3.6,3.486827146,3.543321519,5.844008489,3.942598619,3.881366412,3.740433259,3.60070656,3.65,4.579325108,3.827699106,3.56435677,6.528442251,4.550471574,5.1290746,4.8255434,7.614078045,6.952276698,5.909008104,5.0080876,5.118407224,4.578209036,7.740987612,3.490031297,5.007170815,3.731101726,3.66687,5.149958355
7/1/22,Unemploymentrate,3.6,3.453089764,3.526042776,5.834856812,4.02855526,4.594746365,3.764659166,3.345493984,3.675,3.991924921,3.819364067,3.564356719,9.880880962,4.971310735,5.087368,4.4848366,6.657640763,6.757556912,5.895463749,5.2646794,5.128934053,4.953483693,7.676843171,3.466638875,6.293582319,3.683016415,3.702703,5.254200608
8/1/22,Unemploymentrate,3.9,3.429253901,3.510339965,5.825367205,4.11390005,3.5527497,3.788179263,3.129924197,3.6625,5.099457439,3.811247612,3.564356668,7.13007352,5.370338963,5.357713,5.465371,6.062935473,6.772022583,5.884167909,4.398501,5.518700049,7.936850947,7.740090546,3.433174502,5.538104178,3.635441416,3.6694496,5.619622627
9/1/22,Unemploymentrate,4,3.415491957,3.494690403,5.816467413,4.186759913,2.985050904,3.801468819,3.135532785,3.66875,5.302591391,3.803344008,3.564356617,6.04454835,5.608048099,5.4671187,5.6310625,6.138624305,6.41401196,5.871541572,5.4794703,5.486449112,5.391645676,5.264345754,3.397212427,5.279785454,3.663680899,3.786758,5.659972716
10/1/22,Unemploymentrate,3.9,3.403093638,3.479100386,5.808159262,4.268177603,3.498126683,3.823532535,3.307589941,3.665625,5.381228727,3.795647674,3.564356566,6.776787081,5.424062343,5.349724,5.898871,5.956125497,6.461193034,5.861763273,5.8324966,5.686123167,5.682478257,7.792000473,3.405571266,5.489675676,3.747130848,3.8845975,5.619487721
11/1/22,Unemploymentrate,3.9,3.397926502,3.463558132,5.80106378,4.343703307,3.66771565,3.839502432,2.507362456,3.6671875,4.180716254,3.788153174,3.564356516,6.463298053,5.631877313,5.3373666,5.748452,6.825380719,6.403376335,5.850424109,5.8027554,5.646380407,3.986771797,6.671641102,3.38233968,5.479626224,3.506084421,3.8841617,5.58086945
12/1/22,Unemploymentrate,3.8,3.395607264,3.448044562,5.793636733,4.418683939,4.186710707,3.852998369,2.121956623,3.66640625,5.397731137,3.780855215,3.564356465,6.491734676,5.639431187,5.531222,5.6514416,6.86055237,6.28973742,5.841559822,5.4192357,5.919865452,6.7767277,7.634428227,3.379545959,5.516616601,3.402348937,3.9835036,5.648645265
1/1/23,Unemploymentrate,3.9,3.385432938,3.432534129,5.786186692,4.493293551,4.612853021,3.867797882,2.443587275,3.666796875,5.369415526,3.773748643,3.564356414,5.275124646,5.166638444,5.5084095,5.63243,7.639254628,6.114349059,5.831324079,5.462513,5.687678993,5.899925929,5.98023695,3.359274903,4.978352214,3.534559234,4.062456,5.68476426
2/1/23,Unemploymentrate,3.9,3.363238924,3.417026004,5.778403988,4.55979703,4.640531848,3.875308247,1.992204559,3.666601563,6.237394926,3.766828438,3.564356363,8.614143357,4.990512331,5.6229467,5.536974,7.778620325,6.121759484,5.819630762,5.8205624,5.672497727,5.838008088,4.640511581,3.341125917,6.054817573,3.406201051,4.1241484,5.732803968
3/1/23,Unemploymentrate,3.7,3.332346228,3.401519238,5.770597189,4.633082231,4.592972549,3.890338308,2.363558683,3.666699219,4.128382477,3.760089714,3.564356312,7.453848109,5.278497112,5.473714,6.97227,7.303972879,5.930599206,5.807082233,5.3649626,5.651904667,4.682087964,7.475312742,3.299045163,5.788475817,3.554446711,4.1762905,5.52531673
4/1/23,Unemploymentrate,3.8,3.294895808,3.386013062,5.763385416,4.694032906,4.743591563,3.894195555,2.208551094,3.666650391,5.872921239,3.753527711,3.564356261,6.109537342,5.43215623,5.372902,7.0024033,6.619868526,6.106280295,5.795162111,5.811095,5.561941769,4.891738105,6.616042399,3.277036268,5.411908826,3.52307813,4.2766705,5.57997164
5/1/23,Unemploymentrate,4.1,3.262360967,3.370507008,5.755841718,4.754683419,4.731142521,3.896692484,1.487307513,3.666674805,4.848665092,3.747137794,3.56435621,5.261219735,5.453810857,5.5203934,5.664895,6.729279854,5.997907771,5.783048523,5.2387953,5.825656739,5.260709413,6.303154472,3.258675153,5.156571337,3.302888579,4.3365693,5.855076212
6/1/23,Unemploymentrate,4.3,3.238339601,3.355001027,5.748274664,4.822717784,4.817374525,3.905748984,3.918456248,3.666662598,7.365724259,3.740915451,3.564356159,7.210515283,4.915630523,5.6420536,4.716514,7.531232393,6.154902021,5.772071962,6.160567,5.54847102,6.909217075,6.885039358,3.223253899,5.649621197,4.135945543,4.3646164,6.011326116
7/1/23,Unemploymentrate,4.4,3.220730123,3.339495081,5.740374586,4.884915359,4.890241128,3.909664191,3.289769101,3.666668701,3.59656053,3.734856286,3.564356108,8.120516336,5.541048712,5.5878944,4.624755,6.183247856,6.460067602,5.761793023,6.211105,5.877957904,6.492667073,6.831702186,3.223218405,6.182160136,3.94711772,4.4300547,6.018299432
