Date,variable,Actual,var,varmlp,bigvar,szbvar,szbvarnnx,szbvar_finetuned,tvar,bsvar,msvar,VES,VGARCH,Nbeatsx,LGBM,DTS_CB,DTS_XGB,NHITS,TSMixer,BRNN,XGB,CatBoost,TiDE,TFT,varnnx,SZBVAR_Nbeats_LGBM,BSVAR_SZBVAR_TVAR,LSTNetx,WLSTNetx
4/1/22,Unemploymentrate,3.3,3.44793266,3.66281259,5.752941176,4.16062689,4.276587537,4.136928363,2.700664728,3.8,4.457105785,4.605394524,3.800395023,9.484253445,4.875620798,4.6067195,3.7157989,5.559062904,4.948373957,5.688175103,4.4767804,4.725731491,3.654679799,4.949771002,5.578414271,6.173500378,3.553763873,3.805688,5.14955823
5/1/22,Unemploymentrate,3.4,3.424813272,3.572409986,5.753724276,4.544656268,5.317617478,4.452972906,1.9172113,4.1,5.006302806,4.603387622,3.806370267,9.792857311,4.869317353,5.136297,4.270883,5.124119354,5.184541518,5.713353168,9.626101,6.687849836,4.458504692,4.811589847,5.16908434,6.402276977,3.520622523,3.694754,5.508040427
6/1/22,Unemploymentrate,3.8,3.641394611,3.614070222,5.753581008,4.739476923,5.809201126,4.691300274,1.952242095,3.95,4.575894908,4.601481902,3.812331457,8.175394131,4.47620826,5.1748514,4.0316124,4.926193384,4.7809769,5.735232037,7.4416165,5.930299005,4.615202874,6.135711525,3.865146884,5.797026438,3.547239673,3.7783396,5.734421566
7/1/22,Unemploymentrate,3.8,3.843445961,3.659238449,5.753127698,4.920358215,5.946838498,4.862240368,2.430363655,4.025,3.138332968,4.599672263,3.818278629,9.042615916,4.401100655,5.441823,4.3838086,5.455638037,5.260437763,5.754536679,7.800514,5.775524553,5.691591623,6.136949034,5.1409814,6.121358262,3.79190729,3.9506543,5.990245703
8/1/22,Unemploymentrate,3.8,3.903861615,3.707032565,5.753601778,4.919538142,5.1885962,4.930580897,2.841835178,3.9875,4.900614284,4.597953861,3.824211814,9.895739789,4.346050196,5.4009447,5.0835495,5.381752259,5.027127934,5.762031348,8.811817,5.816709492,7.369117766,6.565965955,4.382678754,6.387109376,3.916291107,4.170671,5.929802221
9/1/22,Unemploymentrate,3.3,4.019634095,3.754942248,5.75469652,4.955981257,4.094657264,5.050444714,2.953102604,4.00625,5.633066014,4.596322096,3.830131045,7.846576444,4.352310266,5.5775795,5.225685,6.207778641,6.11908705,5.77111118,6.7855053,6.076344566,7.07901807,4.172742278,4.374368149,5.718289322,3.971777954,3.997878,6.110764304
10/1/22,Unemploymentrate,3.4,4.030549746,3.802903474,5.756413847,4.992248122,4.937726965,5.140942503,2.80651263,3.996875,5.123214493,4.594772599,3.836036356,8.791772508,5.179559911,5.508546,4.879184,5.920058719,5.640809046,5.771669622,7.1914406,5.785564765,6.98718074,6.738921459,5.831224029,6.321193514,3.931878584,3.687645,5.727731439
11/1/22,Unemploymentrate,3.4,4.198067673,3.850867843,5.757826893,5.131033622,5.077603199,5.336936928,2.556812821,4.0015625,2.470287153,4.593301224,3.841927779,9.634855642,4.46118404,5.513685,6.5358458,5.991726893,6.008544439,5.770419731,7.4072356,6.555868363,7.883783807,4.815406159,4.912084378,6.409024435,3.896469648,3.490733,6.001078638
12/1/22,Unemploymentrate,3.3,4.183003512,3.89883324,5.759553911,5.12537442,5.068732326,5.376622873,2.338584136,3.99921875,5.076385324,4.591904031,3.847805346,8.598406776,4.520534349,5.490084,6.4480205,5.838652811,6.682807727,5.773620776,10.022481,6.616433436,7.895234534,6.633417252,4.941481048,6.081438515,3.821059102,3.633485,6.393485966
1/1/23,Unemploymentrate,3.9,4.118681241,3.946798715,5.757880703,5.02341714,4.376942567,5.347639601,2.211916266,4.000390625,6.31997907,4.590577281,3.853669091,6.609855552,4.576842509,5.7041516,7.24475,6.012904252,5.998101656,5.775523617,8.828658,6.885545511,7.478896135,4.233810149,5.197602177,5.403371734,3.745241344,3.943012,6.464376857
2/1/23,Unemploymentrate,3.9,4.059279352,3.994764211,5.757131108,4.822205044,4.395461406,5.256147885,2.165351986,3.999804688,5.720767858,4.589317421,3.859519045,7.584824414,4.64679699,5.4088326,7.9839835,5.83754462,6.400017156,5.777747557,9.640937,6.622064298,8.835427683,3.822463722,4.397659099,5.684608816,3.662453906,3.9182224,6.554905672
3/1/23,Unemploymentrate,3.6,4.016514129,4.042729709,5.756998387,4.622701383,3.679540398,5.179387296,2.150587119,4.000097656,1.786116032,4.58812108,3.865355242,7.890175795,4.482651576,5.2000904,7.484901,5.311199529,6.750190636,5.784385088,9.538632,6.21600596,8.315434978,6.360236404,4.53506345,5.665176251,3.591128719,3.762681,6.343708646
4/1/23,Unemploymentrate,3.1,3.954838696,4.090695207,5.758103645,4.339780052,4.069484748,5.017753986,2.123026352,3.999951172,4.969822335,4.586985055,3.871177713,8.304082914,5.22036784,5.2372265,7.3943872,5.978760666,6.856276846,5.788887053,8.26173,6.399510062,7.473841009,5.15097275,4.523825316,5.954743602,3.487585859,3.8317845,6.035704853
5/1/23,Unemploymentrate,3.4,3.935489579,4.138660705,5.759212325,4.158025995,4.151811701,4.918595975,2.064753834,4.000024414,7.167936327,4.585906305,3.876986491,9.409532122,5.443594194,5.195981,4.624053,5.683496043,6.418319294,5.787423981,7.944911,5.938078424,6.197313786,4.659547012,4.024894484,6.33705077,3.407601414,3.96602,6.078757322
6/1/23,Unemploymentrate,3.8,3.9119611,4.186626204,5.76001484,3.99203066,4.025549259,4.855560681,1.982963924,3.999987793,6.331041249,4.584881943,3.882781608,10.46945487,5.902329977,5.320938,6.3185244,6.279512328,5.649829004,5.789870115,7.5207863,5.733336904,6.807387026,5.688885547,4.067198266,6.787938502,3.324994126,4.1937256,6.243968315
7/1/23,Unemploymentrate,3.8,3.940887402,4.234591702,5.760510242,3.930192923,3.913062357,4.863140649,1.894768806,4.000006104,1.125604739,4.583909226,3.888563096,7.687825826,6.052880143,5.96415,5.852356,6.276164399,5.185691099,5.788291227,6.9436917,5.977066577,6.576788676,5.339459896,4.173470816,5.890299631,3.274989278,4.399383,6.270748168
8/1/23,Unemploymentrate,3.9,3.85192825,4.2825572,5.762555165,3.75061649,3.706370627,4.760263875,1.813348405,3.999996948,4.422373303,4.582985551,3.894330988,9.054570935,6.689228435,6.7323117,8.17757,6.521252112,5.359957653,5.786837883,7.3030987,6.431574317,6.691005926,3.586126161,4.118391618,6.49813862,3.187987281,4.533175,6.113875152
9/1/23,Unemploymentrate,3.6,3.818069868,4.330522699,5.764916017,3.657648586,3.643619153,4.732467783,1.742684973,4.000001526,8.410364359,4.582108444,3.900085314,7.762786291,5.975404533,7.0803075,5.7321,7.244398797,5.208676721,5.790040762,8.093706,6.199913259,6.973569423,5.253080945,4.129717107,5.798613137,3.133445028,4.6051717,5.857690553
10/1/23,Unemploymentrate,3.6,3.801955052,4.378488197,5.767593776,3.509379341,3.522421625,4.674782576,1.679620688,3.999999237,6.804725998,4.581275559,3.905826108,8.623157434,5.449089219,7.0107274,7.5940485,7.010224705,5.740168165,5.788365841,7.9198484,6.374486362,6.343382482,4.428350801,3.783548308,5.860541998,3.062999755,4.6921024,5.658501497
