date,year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,CPIinflationrate,6.77,6.447506717,7.03773619,2.817983216
5/1/22,202205,CPIinflationrate,7.73,6.26443265,7.122164674,2.15797404
6/1/22,202206,CPIinflationrate,8.13,6.083575442,7.085244101,1.930686705
7/1/22,202207,CPIinflationrate,7.59,5.956301191,7.031734767,1.637124231
8/1/22,202208,CPIinflationrate,7.01,5.826723918,7.001496094,1.738511287
9/1/22,202209,CPIinflationrate,6.86,5.722958916,6.964562512,1.611672511
10/1/22,202210,CPIinflationrate,6.88,5.597991594,6.940159856,1.583299397
11/1/22,202211,CPIinflationrate,6.8,5.495523584,6.90307312,1.529386482
12/1/22,202212,CPIinflationrate,6.32,5.406489304,6.897507519,1.369287389
1/1/23,202301,CPIinflationrate,5.92,5.304112245,6.903912181,1.338396711
2/1/23,202302,CPIinflationrate,5.25,5.222343705,6.919999167,1.313086539
3/1/23,202303,CPIinflationrate,4.3,5.122211014,6.92763376,1.132425571
4/1/23,202304,CPIinflationrate,4.41,5.046170851,6.942671573,1.229968633
5/1/23,202305,CPIinflationrate,3.36,4.979429398,6.957505135,1.735094658
6/1/23,202306,CPIinflationrate,2.81,4.898802659,6.978543293,1.99295113
7/1/23,202307,CPIinflationrate,3.27,4.842122954,7.00665793,1.873257141
8/1/23,202308,CPIinflationrate,4,4.778573834,7.041867207,1.532303174
9/1/23,202309,CPIinflationrate,3.8,4.706305436,7.067424671,1.475527756
10/1/23,202310,CPIinflationrate,3.12,4.641705871,7.088869025,1.584428204
11/1/23,202311,CPIinflationrate,3.12,4.604362058,7.125036508,1.626482025
12/1/23,202312,CPIinflationrate,3.4,4.535509338,7.129025342,1.310598265
1/1/24,202401,CPIinflationrate,2.86,4.452530847,7.108325565,1.396493706
2/1/24,202402,CPIinflationrate,2.78,4.390396442,7.081921467,1.510105195
3/1/24,202403,CPIinflationrate,2.9,4.319345153,7.024699815,2.30762608
