date,year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,OilpriceGlobalWTI,79.13,73.79208613,72.47690511,63.79157532
5/1/23,202305,OilpriceGlobalWTI,71.67,72.77942052,71.14440858,58.7652885
6/1/23,202306,OilpriceGlobalWTI,70.31,73.22148355,71.59868237,59.53231905
7/1/23,202307,OilpriceGlobalWTI,75.77,72.64381034,71.41847836,55.00397752
8/1/23,202308,OilpriceGlobalWTI,81.37,73.81448109,71.99818209,56.31896754
9/1/23,202309,OilpriceGlobalWTI,89.24,74.25155048,72.66323048,60.57684721
10/1/23,202310,OilpriceGlobalWTI,85.47,73.9482052,72.76295889,63.11211665
11/1/23,202311,OilpriceGlobalWTI,77.58,74.08215945,73.22886347,54.50407874
12/1/23,202312,OilpriceGlobalWTI,72.02,73.69099923,73.13315631,45.80793655
1/1/24,202401,OilpriceGlobalWTI,74,73.00026727,73.43157968,41.46759841
2/1/24,202402,OilpriceGlobalWTI,77.36,73.59253254,73.90385434,42.0663321
3/1/24,202403,OilpriceGlobalWTI,81.41,71.87339879,72.57927983,47.78452462
