date,year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,RealbroadEER,105.92,103.9168254,104.4651249,103.9675133
5/1/22,202205,RealbroadEER,105.85,102.9506492,103.4027445,104.2578626
6/1/22,202206,RealbroadEER,105.93,101.9000877,102.197427,103.834935
7/1/22,202207,RealbroadEER,105.72,101.3814349,101.3451096,105.4737222
8/1/22,202208,RealbroadEER,105.55,100.6953848,100.4806254,106.1287839
9/1/22,202209,RealbroadEER,103.21,100.6162122,100.2200104,105.5539231
10/1/22,202210,RealbroadEER,101.14,99.96338534,99.42895108,105.8671484
11/1/22,202211,RealbroadEER,102.38,99.95117228,99.26114996,105.8822538
12/1/22,202212,RealbroadEER,99.71,99.72981896,98.94538158,107.787925
1/1/23,202301,RealbroadEER,99.73,99.21622245,98.3736308,108.3076994
2/1/23,202302,RealbroadEER,99.82,98.84369338,97.80208354,108.5229553
3/1/23,202303,RealbroadEER,98.44,98.19679366,96.95549421,108.9985803
4/1/23,202304,RealbroadEER,99.75,97.78755139,96.30467359,108.3047134
5/1/23,202305,RealbroadEER,100.09,97.6926507,96.11007698,106.9962872
6/1/23,202306,RealbroadEER,101.92,97.4541122,95.94184116,107.1778539
7/1/23,202307,RealbroadEER,102.53,97.58057842,95.98266486,107.8388603
8/1/23,202308,RealbroadEER,101.05,97.46830768,95.90934128,108.4108847
9/1/23,202309,RealbroadEER,100.86,97.2134863,95.52934014,110.3585089
10/1/23,202310,RealbroadEER,100.16,97.10997588,95.41496894,110.1696712
11/1/23,202311,RealbroadEER,99.56,97.34349345,95.59808627,111.6831591
12/1/23,202312,RealbroadEER,100.85,97.57215093,95.91524882,111.1813436
1/1/24,202401,RealbroadEER,100.68,97.58014999,96.14556967,111.807274
2/1/24,202402,RealbroadEER,100.03,97.50540182,96.09968251,111.7598971
3/1/24,202403,RealbroadEER,99.79,97.60601191,96.12762358,110.3498916
