date,year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,ShorttermIR,4.8,4.78721273,4.795218763,3.927334912
5/1/23,202305,ShorttermIR,4.79,4.783356679,4.775209169,3.867161654
6/1/23,202306,ShorttermIR,5.02,4.795603411,4.757335425,3.515292236
7/1/23,202307,ShorttermIR,5.22,4.792533846,4.729480607,3.203241217
8/1/23,202308,ShorttermIR,5.23,4.811482474,4.709697379,2.96915929
9/1/23,202309,ShorttermIR,5.23,4.823733539,4.696541046,3.135328596
10/1/23,202310,ShorttermIR,5.32,4.821222569,4.680758025,3.044368617
11/1/23,202311,ShorttermIR,5.24,4.824077508,4.669419292,2.959367039
12/1/23,202312,ShorttermIR,5.19,4.826786899,4.653892889,2.847696789
1/1/24,202401,ShorttermIR,5.17,4.807976925,4.642457068,2.795539353
2/1/24,202402,ShorttermIR,5.09,4.812412699,4.627334292,2.579184214
3/1/24,202403,ShorttermIR,5.04,4.788697566,4.58844736,2.336067549
