date,year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,Unemploymentrate,5.5,6.030345432,5.495464962,6.236980436
5/1/22,202205,Unemploymentrate,5.1,6.293371845,5.620818537,6.607525388
6/1/22,202206,Unemploymentrate,4.7,6.541315513,5.880745615,6.930221691
7/1/22,202207,Unemploymentrate,5.2,6.589111427,6.015855065,6.992478661
8/1/22,202208,Unemploymentrate,6,6.674964232,6.183655435,6.905552388
9/1/22,202209,Unemploymentrate,4.8,6.673100715,6.288722997,7.202740968
10/1/22,202210,Unemploymentrate,4.7,6.763437523,6.405561315,7.521564999
11/1/22,202211,Unemploymentrate,4.7,6.804643783,6.546936296,8.078036885
12/1/22,202212,Unemploymentrate,4.5,6.784494436,6.59061758,8.454841495
1/1/23,202301,Unemploymentrate,5.5,6.806102951,6.660460802,8.09873269
2/1/23,202302,Unemploymentrate,5.3,6.76365768,6.678449729,7.328231786
3/1/23,202303,Unemploymentrate,5.4,6.794173669,6.739089812,6.824222582
4/1/23,202304,Unemploymentrate,5.2,6.730065098,6.747863507,6.992900559
5/1/23,202305,Unemploymentrate,5.2,6.609759173,6.705810845,6.627811558
6/1/23,202306,Unemploymentrate,5.2,6.558426668,6.695429046,6.553872915
7/1/23,202307,Unemploymentrate,5.9,6.494193036,6.665458841,7.095378625
8/1/23,202308,Unemploymentrate,6.3,6.418325154,6.60807013,7.264588533
9/1/23,202309,Unemploymentrate,5.2,6.41851145,6.587328132,7.343392834
10/1/23,202310,Unemploymentrate,5.3,6.371999529,6.5805657,7.054261601
11/1/23,202311,Unemploymentrate,5.3,6.244992978,6.48474319,7.507999263
12/1/23,202312,Unemploymentrate,5.3,6.260798879,6.486412132,7.768708119
1/1/24,202401,Unemploymentrate,6.1,6.272135585,6.48172618,7.49414558
2/1/24,202402,Unemploymentrate,6,6.100199643,6.264829692,7.647003795
3/1/24,202403,Unemploymentrate,6.4,5.988435929,6.088489532,7.073197955
