date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,CPIinflationrate,4.83,4.489821997,4.768094594,1.975394154
5/1/22,202205,CPIinflationrate,5.2,4.310264151,4.79109681,1.639161389
6/1/22,202206,CPIinflationrate,5.84,4.041700507,4.731776742,1.214547928
7/1/22,202207,CPIinflationrate,6.08,3.779508987,4.669836957,1.154395656
8/1/22,202208,CPIinflationrate,5.91,3.531773576,4.62572276,1.054810071
9/1/22,202209,CPIinflationrate,5.55,3.379636605,4.636997749,0.918036016
10/1/22,202210,CPIinflationrate,6.2,3.216434194,4.635233039,0.73462899
11/1/22,202211,CPIinflationrate,6.15,3.108534229,4.647324901,0.676045024
12/1/22,202212,CPIinflationrate,5.85,2.990375486,4.649556819,0.641855666
1/1/23,202301,CPIinflationrate,5.99,2.859264796,4.631949127,0.649043326
2/1/23,202302,CPIinflationrate,6.28,2.738224756,4.613527108,0.837442043
3/1/23,202303,CPIinflationrate,5.7,2.617910311,4.595837686,0.904635544
4/1/23,202304,CPIinflationrate,5.88,2.506737556,4.569857923,0.969637006
5/1/23,202305,CPIinflationrate,5.12,2.434582154,4.571251784,1.162438561
6/1/23,202306,CPIinflationrate,4.53,2.377539033,4.586424929,1.178483062
7/1/23,202307,CPIinflationrate,4.29,2.345535398,4.602342174,1.026877225
8/1/23,202308,CPIinflationrate,4.86,2.31533698,4.622315408,1.109126637
9/1/23,202309,CPIinflationrate,4.9,2.288758237,4.649646537,1.343307016
10/1/23,202310,CPIinflationrate,3.98,2.264472175,4.664225202,1.488787739
11/1/23,202311,CPIinflationrate,3.47,2.279649775,4.710272202,1.643947952
12/1/23,202312,CPIinflationrate,3.71,2.317412447,4.791968342,1.485971775
1/1/24,202401,CPIinflationrate,3.13,2.355914705,4.879432394,1.503194854
2/1/24,202402,CPIinflationrate,2.96,2.388231861,4.964417805,1.500534768
3/1/24,202403,CPIinflationrate,2.29,2.441319277,5.078628057,1.798453013
