date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,OilpriceGlobalWTI,79.13,73.41111821,71.87094131,77.24041685
5/1/23,202305,OilpriceGlobalWTI,71.67,72.46177812,71.33230977,81.21484167
6/1/23,202306,OilpriceGlobalWTI,70.31,73.16556869,71.56685681,85.70489633
7/1/23,202307,OilpriceGlobalWTI,75.77,72.85311144,71.01514616,82.63195014
8/1/23,202308,OilpriceGlobalWTI,81.37,73.57329661,71.92500228,75.95694843
9/1/23,202309,OilpriceGlobalWTI,89.24,73.93734526,72.89358246,71.17368469
10/1/23,202310,OilpriceGlobalWTI,85.47,73.92417376,73.37421834,74.79146876
11/1/23,202311,OilpriceGlobalWTI,77.58,74.22616105,74.28820904,71.76912343
12/1/23,202312,OilpriceGlobalWTI,72.02,73.87418552,74.61239037,70.69433642
1/1/24,202401,OilpriceGlobalWTI,74,73.72470397,75.55139378,70.10245943
2/1/24,202402,OilpriceGlobalWTI,77.36,73.98057036,76.15972174,70.11346691
3/1/24,202403,OilpriceGlobalWTI,81.41,72.46494103,75.02269852,73.6879097
