date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,RealbroadEER,95.22,96.19183872,96.20814723,100.7385372
5/1/22,202205,RealbroadEER,95.27,96.20038573,96.25891091,100.6290621
6/1/22,202206,RealbroadEER,95.43,96.23624928,96.23805088,100.5902406
7/1/22,202207,RealbroadEER,94.29,96.18847917,96.14599415,101.0661591
8/1/22,202208,RealbroadEER,94.11,96.08840376,96.04573878,100.8940936
9/1/22,202209,RealbroadEER,92.98,96.17501355,96.08880964,100.7885769
10/1/22,202210,RealbroadEER,93.43,96.18853379,96.08353796,100.7668384
11/1/22,202211,RealbroadEER,94.47,96.33613368,96.18635216,100.7282268
12/1/22,202212,RealbroadEER,95.05,96.30294289,96.12293635,101.0961069
1/1/23,202301,RealbroadEER,95.05,96.30431604,96.05075317,101.3233662
2/1/23,202302,RealbroadEER,95.48,96.21652899,95.90542015,101.2895237
3/1/23,202303,RealbroadEER,96.12,96.16987465,95.76701802,100.9093511
4/1/23,202304,RealbroadEER,97.03,96.01524836,95.52858921,100.7633162
5/1/23,202305,RealbroadEER,96.77,95.94942698,95.34987393,101.1908609
6/1/23,202306,RealbroadEER,97.13,95.92807421,95.23455363,101.2970443
7/1/23,202307,RealbroadEER,97.61,96.01068744,95.1990965,101.0284068
8/1/23,202308,RealbroadEER,98.07,96.00869558,95.09901398,101.5273481
9/1/23,202309,RealbroadEER,96.97,96.00356966,95.01229168,101.4801583
10/1/23,202310,RealbroadEER,96.8,96.01886181,94.90132205,100.9318235
11/1/23,202311,RealbroadEER,97.25,96.00536244,94.76051729,101.5516191
12/1/23,202312,RealbroadEER,97.13,96.18018876,94.85964545,101.0971331
1/1/24,202401,RealbroadEER,96.85,96.26059013,94.92098984,100.4950325
2/1/24,202402,RealbroadEER,96.94,96.10859899,94.74922223,100.7465821
3/1/24,202403,RealbroadEER,97.23,96.10158416,94.71724639,100.3161621
