date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,ShorttermIR,-0.45,-0.283178774,-0.326494546,0.343102498
5/1/22,202205,ShorttermIR,-0.39,-0.111410194,-0.190424282,0.373494001
6/1/22,202206,ShorttermIR,-0.24,-0.02239402,-0.150547485,0.275088468
7/1/22,202207,ShorttermIR,0.04,0.03091296,-0.170018526,0.345650076
8/1/22,202208,ShorttermIR,0.39,0.087935186,-0.198871309,0.376068955
9/1/22,202209,ShorttermIR,1.01,0.047681708,-0.261435772,0.44028529
10/1/22,202210,ShorttermIR,1.43,0.053114967,-0.293706864,0.317322464
11/1/22,202211,ShorttermIR,1.83,0.005629257,-0.359084831,0.269539681
12/1/22,202212,ShorttermIR,2.06,0.018495846,-0.394573433,0.240305685
1/1/23,202301,ShorttermIR,2.34,0.054328671,-0.396679543,0.239893963
2/1/23,202302,ShorttermIR,2.64,0.101231369,-0.394016584,0.23341914
3/1/23,202303,ShorttermIR,2.91,0.147757438,-0.384557246,0.221724637
4/1/23,202304,ShorttermIR,3.17,0.205104282,-0.376750171,0.239948665
5/1/23,202305,ShorttermIR,3.37,0.229562467,-0.386888524,0.391404171
6/1/23,202306,ShorttermIR,3.54,0.253467406,-0.397715198,0.323630605
7/1/23,202307,ShorttermIR,3.67,0.251105166,-0.416808285,0.336519118
8/1/23,202308,ShorttermIR,3.78,0.272363979,-0.418395853,0.446975479
9/1/23,202309,ShorttermIR,3.88,0.292927533,-0.424823065,0.35283273
10/1/23,202310,ShorttermIR,3.97,0.297771593,-0.430307866,0.348980088
11/1/23,202311,ShorttermIR,3.97,0.274614079,-0.448262422,0.407468472
12/1/23,202312,ShorttermIR,3.93,0.221384199,-0.508714568,0.346283969
1/1/24,202401,ShorttermIR,3.93,0.178093046,-0.578899936,0.235560031
2/1/24,202402,ShorttermIR,3.92,0.152627877,-0.63797015,0.195964798
3/1/24,202403,ShorttermIR,3.92,0.068772478,-0.740982976,0.320316826
