date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,Unemploymentrate,7.2,7.37334032,7.481774458,8.425891916
5/1/22,202205,Unemploymentrate,7.1,7.345300235,7.576466001,8.16488102
6/1/22,202206,Unemploymentrate,7,7.310582524,7.656027749,8.157718264
7/1/22,202207,Unemploymentrate,7.1,7.265223887,7.694166622,8.390801578
8/1/22,202208,Unemploymentrate,7.6,7.219729436,7.711303784,8.765688785
9/1/22,202209,Unemploymentrate,7.2,7.17776111,7.718161805,8.941901961
10/1/22,202210,Unemploymentrate,7.4,7.146791768,7.73822329,8.484841588
11/1/22,202211,Unemploymentrate,7.3,7.139901204,7.763150922,8.643967765
12/1/22,202212,Unemploymentrate,7.3,7.122337583,7.770191971,8.554379543
1/1/23,202301,Unemploymentrate,7.4,7.103653781,7.777532768,8.546931391
2/1/23,202302,Unemploymentrate,7.2,7.075503992,7.759298244,8.867017565
3/1/23,202303,Unemploymentrate,7,7.054552457,7.742720284,9.143059735
4/1/23,202304,Unemploymentrate,7,7.02686055,7.699388098,9.383391171
5/1/23,202305,Unemploymentrate,7,7.007596556,7.645950011,9.398309967
6/1/23,202306,Unemploymentrate,6.9,7.001513468,7.60280226,9.20285861
7/1/23,202307,Unemploymentrate,7.2,7.006293081,7.569894173,8.883414605
8/1/23,202308,Unemploymentrate,7.8,7.006404745,7.537574349,8.995615902
9/1/23,202309,Unemploymentrate,7.5,7.018434026,7.513687787,9.231012991
10/1/23,202310,Unemploymentrate,7.7,7.02296044,7.483361576,8.916163559
11/1/23,202311,Unemploymentrate,7.7,7.015610786,7.431075498,8.949915011
12/1/23,202312,Unemploymentrate,7.7,7.056747911,7.416040332,8.894627567
1/1/24,202401,Unemploymentrate,7.8,7.107949589,7.420534862,9.041941493
2/1/24,202402,Unemploymentrate,7.6,7.133915789,7.402704687,9.005714065
3/1/24,202403,Unemploymentrate,7.3,7.180816853,7.396109671,9.053653488
