date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,CPIinflationrate,6.25,5.673234815,5.83554547,1.62764012
5/1/22,202205,CPIinflationrate,7.02,5.503429522,5.992635109,1.558843439
6/1/22,202206,CPIinflationrate,6.71,5.310719595,5.929595793,1.275226238
7/1/22,202207,CPIinflationrate,6.67,5.196627071,5.949758047,0.724125426
8/1/22,202208,CPIinflationrate,6.96,5.095046613,5.927644346,0.678166417
9/1/22,202209,CPIinflationrate,8.57,5.073884042,5.985658084,0.552725129
10/1/22,202210,CPIinflationrate,8.82,4.996445865,6.030566458,0.294742476
11/1/22,202211,CPIinflationrate,8.8,4.949607737,6.082885887,0.416927586
12/1/22,202212,CPIinflationrate,8.12,4.901790151,6.125554084,0.537951029
1/1/23,202301,CPIinflationrate,8.65,4.815467808,6.137150769,0.960184154
2/1/23,202302,CPIinflationrate,8.68,4.773640725,6.180486294,0.844675817
3/1/23,202303,CPIinflationrate,7.4,4.698912338,6.208344584,0.96848796
4/1/23,202304,CPIinflationrate,7.17,4.676136677,6.260185686,0.954628773
5/1/23,202305,CPIinflationrate,6.1,4.665539536,6.309663956,1.064787989
6/1/23,202306,CPIinflationrate,6.38,4.626320533,6.366082827,1.378838967
7/1/23,202307,CPIinflationrate,6.16,4.626757249,6.472533134,1.602991402
8/1/23,202308,CPIinflationrate,6.14,4.647468915,6.586988546,1.669118518
9/1/23,202309,CPIinflationrate,4.53,4.607764927,6.661218374,1.727981117
10/1/23,202310,CPIinflationrate,3.79,4.597691174,6.748345991,1.901466905
11/1/23,202311,CPIinflationrate,3.17,4.689709178,6.907775502,1.956058765
12/1/23,202312,CPIinflationrate,3.71,4.757894083,7.073903144,2.202047895
1/1/24,202401,CPIinflationrate,2.89,4.8313412,7.227439104,2.264857944
2/1/24,202402,CPIinflationrate,2.52,5.050866702,7.424241238,2.176303198
3/1/24,202403,CPIinflationrate,2.15,5.276773345,7.650241086,2.499438892
