date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,OilpriceGlobalWTI,101.99,104.9483891,110.2464128,76.78916953
5/1/22,202205,OilpriceGlobalWTI,109.71,102.0535002,108.7821858,67.49718739
6/1/22,202206,OilpriceGlobalWTI,114.68,98.68688636,106.2145512,64.58659606
7/1/22,202207,OilpriceGlobalWTI,101.92,96.99558729,104.4880654,66.73981014
8/1/22,202208,OilpriceGlobalWTI,93.69,95.12871997,102.9073566,64.12372883
9/1/22,202209,OilpriceGlobalWTI,84.4,95.27275715,102.8602844,65.73958258
10/1/22,202210,OilpriceGlobalWTI,87.29,93.65488847,101.8553157,57.85863267
11/1/22,202211,OilpriceGlobalWTI,84.08,93.70778997,101.977484,54.18226107
12/1/22,202212,OilpriceGlobalWTI,76.58,93.21486404,102.0976558,53.0024565
1/1/23,202301,OilpriceGlobalWTI,78.25,91.74935446,101.5721106,52.19720497
2/1/23,202302,OilpriceGlobalWTI,77.03,90.91930975,101.2046099,52.83131797
3/1/23,202303,OilpriceGlobalWTI,73.35,89.18566206,100.1141105,57.12033993
4/1/23,202304,OilpriceGlobalWTI,79.13,88.41116511,99.42211257,53.9942908
5/1/23,202305,OilpriceGlobalWTI,71.67,88.40318361,99.55179022,54.09798761
6/1/23,202306,OilpriceGlobalWTI,70.31,87.90577249,99.63394289,58.0127441
7/1/23,202307,OilpriceGlobalWTI,75.77,88.53671729,100.4986487,61.92001026
8/1/23,202308,OilpriceGlobalWTI,81.37,88.88337218,101.1343297,57.47779713
9/1/23,202309,OilpriceGlobalWTI,89.24,88.25961545,101.1218478,65.62375643
10/1/23,202310,OilpriceGlobalWTI,85.47,88.31847471,101.4697078,72.44554829
11/1/23,202311,OilpriceGlobalWTI,77.58,90.01721741,102.8733159,71.8105679
12/1/23,202312,OilpriceGlobalWTI,72.02,91.57093484,104.3637083,72.05464657
1/1/24,202401,OilpriceGlobalWTI,74,92.69548913,105.3682343,65.30517439
2/1/24,202402,OilpriceGlobalWTI,77.36,94.72300376,106.1871842,64.59898187
3/1/24,202403,OilpriceGlobalWTI,81.41,97.18610773,107.131455,71.66675661
