date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,RealbroadEER,97.24,98.69360866,98.25955084,99.73124643
5/1/22,202205,RealbroadEER,97.53,98.92723884,98.24711444,99.28592353
6/1/22,202206,RealbroadEER,96.83,99.14889653,98.30530932,98.86405231
7/1/22,202207,RealbroadEER,95.67,99.21681807,98.3239197,99.42899997
8/1/22,202208,RealbroadEER,95.32,99.22526779,98.25125568,98.53286743
9/1/22,202209,RealbroadEER,96.63,99.2295011,98.20049685,98.94079907
10/1/22,202210,RealbroadEER,97.02,99.25907881,98.15355902,99.27608889
11/1/22,202211,RealbroadEER,97.93,99.33223237,98.1477837,99.19323949
12/1/22,202212,RealbroadEER,98.17,99.2787655,98.05847489,99.254612
1/1/23,202301,RealbroadEER,98.57,99.24021682,97.90017323,99.36813932
2/1/23,202302,RealbroadEER,98.77,99.11859235,97.69081919,99.72272313
3/1/23,202303,RealbroadEER,99.41,99.05751636,97.51924688,100.1100553
4/1/23,202304,RealbroadEER,100.27,98.89029086,97.29426146,100.9406151
5/1/23,202305,RealbroadEER,99.91,98.74244372,97.08994839,101.0798099
6/1/23,202306,RealbroadEER,100.42,98.64849745,96.95293687,101.1876329
7/1/23,202307,RealbroadEER,101.29,98.55059456,96.84547608,101.3401718
8/1/23,202308,RealbroadEER,101.15,98.39170917,96.67041194,101.8312906
9/1/23,202309,RealbroadEER,100.93,98.33339407,96.52349081,102.129417
10/1/23,202310,RealbroadEER,100.5,98.2215247,96.37523621,101.5692456
11/1/23,202311,RealbroadEER,100.54,98.00401258,96.17086386,101.5744099
12/1/23,202312,RealbroadEER,100.32,97.99427347,96.12574802,101.9397543
1/1/24,202401,RealbroadEER,100.39,97.98391138,96.10947527,101.2107188
2/1/24,202402,RealbroadEER,100,97.76217171,95.86404098,101.4789268
3/1/24,202403,RealbroadEER,100.66,97.6873642,95.6820191,100.9391584
