date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,ShorttermIR,-0.45,-0.508966788,-0.394816191,0.138443228
5/1/22,202205,ShorttermIR,-0.39,-0.515222061,-0.290652156,0.188381137
6/1/22,202206,ShorttermIR,-0.24,-0.510410638,-0.253596985,0.138177066
7/1/22,202207,ShorttermIR,0.04,-0.497662828,-0.262792858,0.084678884
8/1/22,202208,ShorttermIR,0.39,-0.469614947,-0.284613694,0.130899719
9/1/22,202209,ShorttermIR,1.01,-0.474842928,-0.332522508,0.157164709
10/1/22,202210,ShorttermIR,1.43,-0.465259527,-0.37461487,0.142262862
11/1/22,202211,ShorttermIR,1.83,-0.485760367,-0.436168012,0.15044384
12/1/22,202212,ShorttermIR,2.06,-0.466260054,-0.48064507,0.270939979
1/1/23,202301,ShorttermIR,2.34,-0.436298031,-0.501553179,0.195407133
2/1/23,202302,ShorttermIR,2.64,-0.400872054,-0.507161911,0.206246288
3/1/23,202303,ShorttermIR,2.91,-0.370314296,-0.503861181,0.089330126
4/1/23,202304,ShorttermIR,3.17,-0.331499271,-0.493213308,-0.021646956
5/1/23,202305,ShorttermIR,3.37,-0.305147116,-0.488248636,0.112824098
6/1/23,202306,ShorttermIR,3.54,-0.285203738,-0.487235599,0.087464936
7/1/23,202307,ShorttermIR,3.67,-0.285574641,-0.50380458,0.141189699
8/1/23,202308,ShorttermIR,3.78,-0.272519242,-0.513581984,0.265475711
9/1/23,202309,ShorttermIR,3.88,-0.266560627,-0.519846309,0.138538515
10/1/23,202310,ShorttermIR,3.97,-0.257653455,-0.527765261,0.169342759
11/1/23,202311,ShorttermIR,3.97,-0.255975957,-0.541596225,0.127132222
12/1/23,202312,ShorttermIR,3.93,-0.30304276,-0.582510132,0.157211867
1/1/24,202401,ShorttermIR,3.93,-0.34430271,-0.629741283,0.082505577
2/1/24,202402,ShorttermIR,3.92,-0.363183327,-0.655829528,0.192565737
3/1/24,202403,ShorttermIR,3.92,-0.426535324,-0.698020134,0.054928604
