date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,Unemploymentrate,3.1,2.893242358,2.912628422,5.322612436
5/1/23,202305,Unemploymentrate,2.8,2.885656252,2.841562645,5.451104925
6/1/23,202306,Unemploymentrate,3,2.891177708,2.868751458,5.376771148
7/1/23,202307,Unemploymentrate,3,2.898927851,2.858105577,5.653189902
8/1/23,202308,Unemploymentrate,3.2,2.897077151,2.843952902,5.63085845
9/1/23,202309,Unemploymentrate,3,2.909218972,2.844315215,5.37338924
10/1/23,202310,Unemploymentrate,3.2,2.954618745,2.871077466,5.57605756
11/1/23,202311,Unemploymentrate,3.1,2.999812905,2.902073779,5.484586978
12/1/23,202312,Unemploymentrate,2.9,3.012705606,2.900690913,5.526294965
1/1/24,202401,Unemploymentrate,3.2,3.134405567,3.019509969,5.522718629
2/1/24,202402,Unemploymentrate,3.6,3.128282215,3.024176216,5.718933276
3/1/24,202403,Unemploymentrate,3.5,3.158548882,3.030663371,5.54466481
