date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,CPIinflationrate,5.96,6.499683115,7.081092167,2.667371198
5/1/22,202205,CPIinflationrate,6.82,6.534880217,7.614731499,2.55170018
6/1/22,202206,CPIinflationrate,7.97,6.553929973,7.954264534,2.253388366
7/1/22,202207,CPIinflationrate,7.93,6.582122053,8.319605032,2.054983051
8/1/22,202208,CPIinflationrate,8.37,6.592356098,8.560227634,2.098273
9/1/22,202209,CPIinflationrate,8.87,6.652601323,8.803103857,1.706082345
10/1/22,202210,CPIinflationrate,11.84,6.669659757,8.950315456,1.634336335
11/1/22,202211,CPIinflationrate,11.77,6.743051829,9.121267886,1.483209566
12/1/22,202212,CPIinflationrate,11.63,6.77594887,9.22564039,1.269948338
1/1/23,202301,CPIinflationrate,9.97,6.787783572,9.313730754,1.412429028
2/1/23,202302,CPIinflationrate,9.15,6.79657744,9.360782908,0.975058335
3/1/23,202303,CPIinflationrate,7.61,6.793581939,9.396613054,1.223726852
4/1/23,202304,CPIinflationrate,8.16,6.791952171,9.397793603,1.223760827
5/1/23,202305,CPIinflationrate,7.64,6.816794577,9.413682838,1.190084997
6/1/23,202306,CPIinflationrate,6.4,6.841209108,9.427092266,1.439308264
7/1/23,202307,CPIinflationrate,5.93,6.893137708,9.456036077,1.263337995
8/1/23,202308,CPIinflationrate,5.44,6.921977126,9.472068739,1.612518535
9/1/23,202309,CPIinflationrate,5.34,6.949029661,9.488565948,1.485310561
10/1/23,202310,CPIinflationrate,1.69,6.983659216,9.500583069,1.371607838
11/1/23,202311,CPIinflationrate,0.67,7.036110993,9.54907082,1.641550011
12/1/23,202312,CPIinflationrate,0.59,7.127649194,9.649003777,1.738794126
1/1/24,202401,CPIinflationrate,0.84,7.206152947,9.745142781,1.877676741
2/1/24,202402,CPIinflationrate,0.75,7.25360442,9.829943531,2.064952713
3/1/24,202403,CPIinflationrate,1.18,7.342262305,9.971541248,2.263136783
