date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,OilpriceGlobalWTI,101.99,105.493782,113.0661209,75.98074427
5/1/22,202205,OilpriceGlobalWTI,109.71,102.8921044,112.2242305,73.46180971
6/1/22,202206,OilpriceGlobalWTI,114.68,99.97394971,107.7058364,70.50556289
7/1/22,202207,OilpriceGlobalWTI,101.92,98.51470413,105.5801271,66.35790099
8/1/22,202208,OilpriceGlobalWTI,93.69,96.75015404,103.772215,65.57507983
9/1/22,202209,OilpriceGlobalWTI,84.4,96.74207626,103.8550231,67.72929956
10/1/22,202210,OilpriceGlobalWTI,87.29,94.9827874,102.1692854,62.24391079
11/1/22,202211,OilpriceGlobalWTI,84.08,95.18699022,101.6413606,70.05841239
12/1/22,202212,OilpriceGlobalWTI,76.58,94.80116471,100.9871958,68.35628366
1/1/23,202301,OilpriceGlobalWTI,78.25,93.60461809,100.0249562,70.04981754
2/1/23,202302,OilpriceGlobalWTI,77.03,92.77487835,99.08293568,73.00814075
3/1/23,202303,OilpriceGlobalWTI,73.35,91.07656965,97.28825127,75.16866483
4/1/23,202304,OilpriceGlobalWTI,79.13,90.14282975,95.91975244,74.51495899
5/1/23,202305,OilpriceGlobalWTI,71.67,90.15499355,95.689884,73.73128291
6/1/23,202306,OilpriceGlobalWTI,70.31,89.83979291,95.53684818,73.446148
7/1/23,202307,OilpriceGlobalWTI,75.77,90.56469723,96.1906782,76.32849997
8/1/23,202308,OilpriceGlobalWTI,81.37,90.65169241,96.48736225,77.76720706
9/1/23,202309,OilpriceGlobalWTI,89.24,90.13215102,96.17065239,78.89532985
10/1/23,202310,OilpriceGlobalWTI,85.47,90.25665869,96.0951607,79.49494579
11/1/23,202311,OilpriceGlobalWTI,77.58,91.37803413,96.82805186,79.83848506
12/1/23,202312,OilpriceGlobalWTI,72.02,92.37656908,97.89042325,78.65569309
1/1/24,202401,OilpriceGlobalWTI,74,92.67944265,98.60801009,74.44090523
2/1/24,202402,OilpriceGlobalWTI,77.36,92.35986725,98.66744324,73.63534461
3/1/24,202403,OilpriceGlobalWTI,81.41,92.36452379,98.68925976,74.46829494
