date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,RealbroadEER,100.33,99.63969867,100.5913822,99.59004555
5/1/23,202305,RealbroadEER,100.42,99.77313391,101.244158,99.78380439
6/1/23,202306,RealbroadEER,100.67,99.85401591,102.0438198,99.59034717
7/1/23,202307,RealbroadEER,101.19,100.0019888,102.21164,99.23976096
8/1/23,202308,RealbroadEER,100.92,100.0680594,102.3044684,100.2585766
9/1/23,202309,RealbroadEER,100.49,100.1749583,101.9229732,100.6079836
10/1/23,202310,RealbroadEER,99.94,100.3933587,101.8819933,101.469795
11/1/23,202311,RealbroadEER,99.96,100.6003553,101.9291181,102.2423054
12/1/23,202312,RealbroadEER,99.94,100.7677937,101.9693049,102.8920518
1/1/24,202401,RealbroadEER,100.13,101.1950462,102.3378552,103.3525149
2/1/24,202402,RealbroadEER,99.39,101.2985719,102.4569636,103.4920919
3/1/24,202403,RealbroadEER,99.46,101.5737296,102.6539446,104.5275052
