date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,ShorttermIR,3.17,2.954925851,3.02828787,2.258378848
5/1/23,202305,ShorttermIR,3.37,2.977524918,3.00291105,2.157696913
6/1/23,202306,ShorttermIR,3.54,3.044986717,2.9383753,1.819168416
7/1/23,202307,ShorttermIR,3.67,3.081482917,2.84249854,2.063598641
8/1/23,202308,ShorttermIR,3.78,3.13740048,2.78173995,1.777065935
9/1/23,202309,ShorttermIR,3.88,3.200156391,2.71319239,2.02163764
10/1/23,202310,ShorttermIR,3.97,3.258721866,2.62829111,1.904120475
11/1/23,202311,ShorttermIR,3.97,3.321997055,2.51725151,2.213903157
12/1/23,202312,ShorttermIR,3.93,3.364187988,2.45094665,2.260666589
1/1/24,202401,ShorttermIR,3.93,3.432691872,2.36148078,2.146463512
2/1/24,202402,ShorttermIR,3.92,3.479013387,2.31516749,2.125614378
3/1/24,202403,ShorttermIR,3.92,3.498040583,2.27981786,2.025487637
