date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,Unemploymentrate,8,8.082362523,8.316989402,8.692025876
5/1/23,202305,Unemploymentrate,7.5,7.960395899,8.584712961,9.36036604
6/1/23,202306,Unemploymentrate,7,7.70581427,8.408924795,9.424269482
7/1/23,202307,Unemploymentrate,7.5,7.668584446,8.652074409,9.148813044
8/1/23,202308,Unemploymentrate,6.9,7.803457963,8.937431527,8.963703269
9/1/23,202309,Unemploymentrate,7.5,7.764743417,9.063312905,8.660737479
10/1/23,202310,Unemploymentrate,8.1,7.763714369,8.943559589,8.473486531
11/1/23,202311,Unemploymentrate,7.6,7.85115333,8.917040918,8.286515954
12/1/23,202312,Unemploymentrate,7,7.929493309,8.964594868,8.36820743
1/1/24,202401,Unemploymentrate,7.6,8.128340505,8.720373694,8.254779619
2/1/24,202402,Unemploymentrate,8.1,8.187428051,8.661842655,8.77810618
3/1/24,202403,Unemploymentrate,7.4,8.235757969,8.662381442,9.070579608
