date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,CPIinflationrate,3.55,3.293447545,3.24256112,1.48726352
5/1/23,202305,CPIinflationrate,3.24,3.301701841,3.268673645,1.596757118
6/1/23,202306,CPIinflationrate,3.34,3.361412175,3.313204153,1.645595101
7/1/23,202307,CPIinflationrate,3.32,3.390100385,3.401076476,1.574400148
8/1/23,202308,CPIinflationrate,3.12,3.453476836,3.446847546,1.455561394
9/1/23,202309,CPIinflationrate,3.01,3.519544777,3.563816501,1.232602494
10/1/23,202310,CPIinflationrate,3.28,3.614566062,3.710836435,1.27423245
11/1/23,202311,CPIinflationrate,2.89,3.715696005,3.865913178,0.947682729
12/1/23,202312,CPIinflationrate,2.59,3.758751665,3.970122261,1.179503417
1/1/24,202401,CPIinflationrate,2.1,3.939745468,4.251620211,1.129445495
2/1/24,202402,CPIinflationrate,2.79,3.96572028,4.326582647,1.090972658
3/1/24,202403,CPIinflationrate,2.68,3.988688098,4.428301845,1.06699916
