date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,OilpriceGlobalWTI,79.13,72.46452092,73.96505894,72.5768846
5/1/23,202305,OilpriceGlobalWTI,71.67,70.59470297,74.0308631,72.92519474
6/1/23,202306,OilpriceGlobalWTI,70.31,70.55618501,74.57897397,72.60945098
7/1/23,202307,OilpriceGlobalWTI,75.77,68.71773517,74.38786761,69.26806697
8/1/23,202308,OilpriceGlobalWTI,81.37,69.4125947,75.50445782,72.72583065
9/1/23,202309,OilpriceGlobalWTI,89.24,69.02982064,76.64700762,68.01837323
10/1/23,202310,OilpriceGlobalWTI,85.47,68.17077003,77.21751706,65.03304708
11/1/23,202311,OilpriceGlobalWTI,77.58,67.58524971,78.00026906,63.26443223
12/1/23,202312,OilpriceGlobalWTI,72.02,66.28624735,78.21349804,60.32646855
1/1/24,202401,OilpriceGlobalWTI,74,64.8332051,78.72367932,60.19541684
2/1/24,202402,OilpriceGlobalWTI,77.36,64.10715995,79.14312605,58.94141753
3/1/24,202403,OilpriceGlobalWTI,81.41,61.0809328,77.97563773,58.82035603
