date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,ShorttermIR,-0.07,-0.031293456,-0.046171498,-0.016579772
5/1/23,202305,ShorttermIR,-0.07,-0.037395383,-0.062729807,-0.006686884
6/1/23,202306,ShorttermIR,-0.08,-0.036402521,-0.068295474,-0.008996269
7/1/23,202307,ShorttermIR,-0.06,-0.03874461,-0.067987318,0.004806525
8/1/23,202308,ShorttermIR,-0.06,-0.037263436,-0.069321014,-0.007077752
9/1/23,202309,ShorttermIR,-0.06,-0.035103563,-0.063693055,-0.030735593
10/1/23,202310,ShorttermIR,-0.02,-0.032531358,-0.058790438,-0.017519006
11/1/23,202311,ShorttermIR,-0.02,-0.028024373,-0.051582286,-0.031644955
12/1/23,202312,ShorttermIR,-0.04,-0.028671591,-0.049409867,-0.02382616
1/1/24,202401,ShorttermIR,-0.01,-0.018412554,-0.033147466,-0.006617921
2/1/24,202402,ShorttermIR,-0.01,-0.019605092,-0.033933065,-2.12E-05
3/1/24,202403,ShorttermIR,0.07,-0.024332824,-0.032185619,0.006632384
