date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,Unemploymentrate,2.7,2.810289792,2.792957911,2.743780906
5/1/23,202305,Unemploymentrate,2.7,2.843128182,2.793268693,2.842668374
6/1/23,202306,Unemploymentrate,2.6,2.848200411,2.788317602,2.939525447
7/1/23,202307,Unemploymentrate,2.6,2.872808549,2.803908087,2.983287743
8/1/23,202308,Unemploymentrate,2.7,2.871446084,2.793401015,3.066093825
9/1/23,202309,Unemploymentrate,2.6,2.879969499,2.788728779,3.138650276
10/1/23,202310,Unemploymentrate,2.5,2.908744164,2.810126309,3.088817365
11/1/23,202311,Unemploymentrate,2.4,2.928455559,2.811088309,2.935316031
12/1/23,202312,Unemploymentrate,2.3,2.949329677,2.81689958,2.786751182
1/1/24,202401,Unemploymentrate,2.4,2.996380213,2.831243031,2.707628316
2/1/24,202402,Unemploymentrate,2.6,3.005088376,2.8242417,2.75307802
3/1/24,202403,Unemploymentrate,2.7,3.056206136,2.862424443,2.803910725
