date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,CPIinflationrate,7.79,6.179181526,6.511743087,3.242668366
5/1/22,202205,CPIinflationrate,7.84,6.163601489,6.771556815,2.937090515
6/1/22,202206,CPIinflationrate,8.17,6.132698366,6.83746175,2.789953295
7/1/22,202207,CPIinflationrate,8.8,6.134953575,6.870911929,2.621385897
8/1/22,202208,CPIinflationrate,8.65,6.122000547,6.86671196,2.548371678
9/1/22,202209,CPIinflationrate,8.81,6.1636112,6.885546058,2.350607491
10/1/22,202210,CPIinflationrate,9.61,6.157476247,6.884016112,2.423443247
11/1/22,202211,CPIinflationrate,9.38,6.208412397,6.915786853,2.157971558
12/1/22,202212,CPIinflationrate,9.24,6.228241562,6.929251779,2.020739322
1/1/23,202301,CPIinflationrate,8.9,6.226257002,6.94483557,1.873020108
2/1/23,202302,CPIinflationrate,9.19,6.226415236,6.942433096,1.871473041
3/1/23,202303,CPIinflationrate,8.84,6.206589955,6.925487573,1.663230519
4/1/23,202304,CPIinflationrate,7.82,6.199955441,6.903195366,1.651208319
5/1/23,202305,CPIinflationrate,7.85,6.215300021,6.887768428,1.69541811
6/1/23,202306,CPIinflationrate,7.39,6.22465637,6.879566522,1.704249138
7/1/23,202307,CPIinflationrate,6.44,6.269028161,6.900524856,1.712325197
8/1/23,202308,CPIinflationrate,6.24,6.292035832,6.917301978,1.601335231
9/1/23,202309,CPIinflationrate,6.38,6.302687419,6.936259813,1.734114415
10/1/23,202310,CPIinflationrate,4.75,6.329407505,6.956137125,1.709087461
11/1/23,202311,CPIinflationrate,4.17,6.386002057,6.990761257,1.890850567
12/1/23,202312,CPIinflationrate,4.15,6.451660702,7.041124384,1.990289694
1/1/24,202401,CPIinflationrate,4.17,6.495096571,7.090536384,2.012657689
2/1/24,202402,CPIinflationrate,3.81,6.510760277,7.126195033,1.742009667
3/1/24,202403,CPIinflationrate,3.79,6.551002858,7.164626743,1.752683652
