date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,OilpriceGlobalWTI,79.13,73.63456019,71.35871045,80.44434026
5/1/23,202305,OilpriceGlobalWTI,71.67,72.39086734,69.47282882,82.85325589
6/1/23,202306,OilpriceGlobalWTI,70.31,72.85714314,69.24633261,83.44042353
7/1/23,202307,OilpriceGlobalWTI,75.77,72.03430577,68.59770825,88.60874216
8/1/23,202308,OilpriceGlobalWTI,81.37,72.83942733,69.23713913,82.71370064
9/1/23,202309,OilpriceGlobalWTI,89.24,73.31617421,69.87416199,81.52961676
10/1/23,202310,OilpriceGlobalWTI,85.47,72.96558129,70.06084609,80.0946129
11/1/23,202311,OilpriceGlobalWTI,77.58,72.95610552,70.62470481,77.33519002
12/1/23,202312,OilpriceGlobalWTI,72.02,72.23078068,70.76814325,69.14029989
1/1/24,202401,OilpriceGlobalWTI,74,71.28457428,71.71455588,65.76841617
2/1/24,202402,OilpriceGlobalWTI,77.36,71.10181748,72.25948265,60.61572351
3/1/24,202403,OilpriceGlobalWTI,81.41,68.77602255,71.23491582,65.55852604
