date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,RealbroadEER,105.16,103.2111615,103.676132,104.3607286
5/1/22,202205,RealbroadEER,103.36,102.4476287,102.792669,103.9012639
6/1/22,202206,RealbroadEER,102.62,101.8004152,101.932362,104.3058607
7/1/22,202207,RealbroadEER,102.62,101.4820894,101.250065,103.7081171
8/1/22,202208,RealbroadEER,103.03,101.3452685,100.968951,104.8407032
9/1/22,202209,RealbroadEER,99.26,100.9702081,100.529175,104.3485163
10/1/22,202210,RealbroadEER,101.31,100.7608125,100.288105,105.5898951
11/1/22,202211,RealbroadEER,102.95,100.2387073,99.7865782,105.9141942
12/1/22,202212,RealbroadEER,104.35,100.1658764,99.7240968,105.6077088
1/1/23,202301,RealbroadEER,101.94,100.1934547,99.7589974,107.0102683
2/1/23,202302,RealbroadEER,102.15,100.380306,99.9256794,106.5911939
3/1/23,202303,RealbroadEER,103.09,100.486633,100.016105,106.8279548
4/1/23,202304,RealbroadEER,105.01,100.7998153,100.23204,107.5517907
5/1/23,202305,RealbroadEER,106.86,100.9386788,100.388348,107.8294815
6/1/23,202306,RealbroadEER,108.87,100.9796935,100.502908,106.7938649
7/1/23,202307,RealbroadEER,109.19,100.9276422,100.503465,107.4684245
8/1/23,202308,RealbroadEER,108.78,101.0688472,100.641386,106.6820809
9/1/23,202309,RealbroadEER,108.1,101.0395532,100.656485,106.6335125
10/1/23,202310,RealbroadEER,106.84,101.0878866,100.702579,106.9458955
11/1/23,202311,RealbroadEER,107.17,101.2238985,100.739686,107.8913211
12/1/23,202312,RealbroadEER,108.35,100.6664392,100.300694,106.2560034
1/1/24,202401,RealbroadEER,108.34,100.1013719,99.7681132,107.8346462
2/1/24,202402,RealbroadEER,108.49,99.89219303,99.4144218,107.8269893
3/1/24,202403,RealbroadEER,109.08,99.17402229,98.54832,106.3342481
