date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,ShorttermIR,4.52,4.414233907,4.35675156,3.47928849
5/1/23,202305,ShorttermIR,4.73,4.461043043,4.32437904,3.259251469
6/1/23,202306,ShorttermIR,5.09,4.55507612,4.29115906,3.097988975
7/1/23,202307,ShorttermIR,5.49,4.614888985,4.25748219,3.144779539
8/1/23,202308,ShorttermIR,5.53,4.725005092,4.24976332,3.197970991
9/1/23,202309,ShorttermIR,5.52,4.822049853,4.25505752,3.272254498
10/1/23,202310,ShorttermIR,5.4,4.891379339,4.25052959,3.092451828
11/1/23,202311,ShorttermIR,5.36,4.973797403,4.24505434,3.18276331
12/1/23,202312,ShorttermIR,5.34,5.044648715,4.23856744,3.054280117
1/1/24,202401,ShorttermIR,5.32,5.090675201,4.20159025,2.871959342
2/1/24,202402,ShorttermIR,5.33,5.181566419,4.19237233,2.779210921
3/1/24,202403,ShorttermIR,5.32,5.205270827,4.15777469,2.938938352
