date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,Unemploymentrate,3.5,3.650625253,3.550813845,4.803030345
5/1/22,202205,Unemploymentrate,3.6,3.69567185,3.519367899,4.880068577
6/1/22,202206,Unemploymentrate,3.6,3.740433259,3.486827146,5.118407224
7/1/22,202207,Unemploymentrate,3.6,3.764659166,3.453089764,5.128934053
8/1/22,202208,Unemploymentrate,3.9,3.788179263,3.429253901,5.518700049
9/1/22,202209,Unemploymentrate,4,3.801468819,3.415491957,5.486449112
10/1/22,202210,Unemploymentrate,3.9,3.823532535,3.403093638,5.686123167
11/1/22,202211,Unemploymentrate,3.9,3.839502432,3.397926502,5.646380407
12/1/22,202212,Unemploymentrate,3.8,3.852998369,3.395607264,5.919865452
1/1/23,202301,Unemploymentrate,3.9,3.867797882,3.385432938,5.687678993
2/1/23,202302,Unemploymentrate,3.9,3.875308247,3.363238924,5.672497727
3/1/23,202303,Unemploymentrate,3.7,3.890338308,3.332346228,5.651904667
4/1/23,202304,Unemploymentrate,3.8,3.894195555,3.294895808,5.561941769
5/1/23,202305,Unemploymentrate,4.1,3.896692484,3.262360967,5.825656739
6/1/23,202306,Unemploymentrate,4.3,3.905748984,3.238339601,5.54847102
7/1/23,202307,Unemploymentrate,4.4,3.909664191,3.220730123,5.877957904
8/1/23,202308,Unemploymentrate,4.2,3.90887384,3.195576707,6.040363601
9/1/23,202309,Unemploymentrate,4.1,3.916173346,3.165509215,5.991500075
10/1/23,202310,Unemploymentrate,4,3.920283861,3.136751147,5.965931271
11/1/23,202311,Unemploymentrate,3.8,3.909450372,3.100083123,6.003098779
12/1/23,202312,Unemploymentrate,4,3.916406937,3.072525989,6.032904048
1/1/24,202401,Unemploymentrate,4.2,3.924280268,3.048978584,5.99870837
2/1/24,202402,Unemploymentrate,4.3,3.915486366,3.003473841,5.803884335
3/1/24,202403,Unemploymentrate,4.3,3.903619644,2.932726697,5.737653547
