date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,CPIinflationrate,4.93,4.954784018,4.530887527,5.075568547
5/1/23,202305,CPIinflationrate,4.05,4.869942231,4.46620102,4.563348739
6/1/23,202306,CPIinflationrate,2.97,4.862380867,4.508405851,4.11949552
7/1/23,202307,CPIinflationrate,3.18,4.796676088,4.549033249,4.111110137
8/1/23,202308,CPIinflationrate,3.67,4.820141718,4.615907769,4.877931524
9/1/23,202309,CPIinflationrate,3.7,4.812935706,4.709537327,4.669425653
10/1/23,202310,CPIinflationrate,3.24,4.756636577,4.77905012,4.245353201
11/1/23,202311,CPIinflationrate,3.14,4.725178782,4.852955448,3.746633872
12/1/23,202312,CPIinflationrate,3.35,4.677416051,4.919482495,4.034885715
1/1/24,202401,CPIinflationrate,3.09,4.583454791,4.960833775,3.460816631
2/1/24,202402,CPIinflationrate,3.15,4.572465382,5.049357821,2.784648999
3/1/24,202403,CPIinflationrate,3.48,4.444564966,5.079462891,2.564568201
