date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,OilpriceGlobalWTI,101.99,104.9088515,110.1026182,61.88052065
5/1/22,202205,OilpriceGlobalWTI,109.71,101.947047,107.3660797,57.00807768
6/1/22,202206,OilpriceGlobalWTI,114.68,98.33721645,103.8225841,52.63708183
7/1/22,202207,OilpriceGlobalWTI,101.92,96.90078837,102.4981171,56.85021876
8/1/22,202208,OilpriceGlobalWTI,93.69,94.93171973,101.6229689,56.00652488
9/1/22,202209,OilpriceGlobalWTI,84.4,94.84181678,102.3439033,54.77455874
10/1/22,202210,OilpriceGlobalWTI,87.29,92.9872311,101.8043566,55.22178838
11/1/22,202211,OilpriceGlobalWTI,84.08,93.2988409,102.8831614,52.95196963
12/1/22,202212,OilpriceGlobalWTI,76.58,93.29199124,103.870607,53.54721341
1/1/23,202301,OilpriceGlobalWTI,78.25,92.24679822,104.164381,52.13297811
2/1/23,202302,OilpriceGlobalWTI,77.03,91.466466,103.9712596,51.76262662
3/1/23,202303,OilpriceGlobalWTI,73.35,89.51766508,102.4862655,50.22675554
4/1/23,202304,OilpriceGlobalWTI,79.13,88.46605571,101.1620442,53.33808769
5/1/23,202305,OilpriceGlobalWTI,71.67,88.5960153,100.871679,57.24118818
6/1/23,202306,OilpriceGlobalWTI,70.31,88.17013415,100.5653582,57.36465524
7/1/23,202307,OilpriceGlobalWTI,75.77,89.00138191,101.5039434,58.87701754
8/1/23,202308,OilpriceGlobalWTI,81.37,89.13677446,102.2555314,63.95558666
9/1/23,202309,OilpriceGlobalWTI,89.24,88.50854475,102.4613963,61.80360288
10/1/23,202310,OilpriceGlobalWTI,85.47,88.49035867,102.8011213,60.9823601
11/1/23,202311,OilpriceGlobalWTI,77.58,89.82328092,104.3012557,63.93821939
12/1/23,202312,OilpriceGlobalWTI,72.02,90.74053477,106.0403896,61.96053928
1/1/24,202401,OilpriceGlobalWTI,74,90.71060945,107.186027,64.97067523
2/1/24,202402,OilpriceGlobalWTI,77.36,90.13058859,107.8239573,62.26094121
3/1/24,202403,OilpriceGlobalWTI,81.41,89.95696177,108.3486417,65.85363355
