date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/23,202304,RealbroadEER,105.96,106.8543111,106.6626993,103.7406551
5/1/23,202305,RealbroadEER,106.76,107.0845576,106.2926796,103.1960116
6/1/23,202306,RealbroadEER,107.25,106.9300085,105.8710238,103.7434992
7/1/23,202307,RealbroadEER,106.24,106.9698936,105.7093062,103.2474196
8/1/23,202308,RealbroadEER,107.71,106.762924,105.4874553,102.2805605
9/1/23,202309,RealbroadEER,109.13,106.5579239,105.167944,101.9772872
10/1/23,202310,RealbroadEER,110.46,106.3190933,104.7594431,103.245285
11/1/23,202311,RealbroadEER,108.43,105.9727468,104.2281126,103.6745603
12/1/23,202312,RealbroadEER,106.66,105.8892778,103.8844937,103.6158162
1/1/24,202401,RealbroadEER,107.43,105.2402529,103.1000034,103.8714307
2/1/24,202402,RealbroadEER,108.05,105.1552548,102.6512118,102.2941467
3/1/24,202403,RealbroadEER,108.39,105.2466703,102.5578966,102.1371215
