date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,ShorttermIR,0.91,0.691546947,0.853106607,1.593697272
5/1/22,202205,ShorttermIR,1.33,0.667515856,0.8043398,1.516465389
6/1/22,202206,ShorttermIR,1.87,0.673719133,0.717717145,1.475022428
7/1/22,202207,ShorttermIR,2.5,0.711936562,0.631863982,1.353592301
8/1/22,202208,ShorttermIR,2.76,0.800565438,0.589638166,1.364502111
9/1/22,202209,ShorttermIR,3.21,0.810485845,0.49391671,1.548677044
10/1/22,202210,ShorttermIR,3.85,0.875966031,0.4448424,1.591256926
11/1/22,202211,ShorttermIR,4.46,0.840044449,0.32215928,1.512669936
12/1/22,202212,ShorttermIR,4.51,0.91509467,0.280003571,1.498499873
1/1/23,202301,ShorttermIR,4.61,1.029436011,0.296801247,1.478659135
2/1/23,202302,ShorttermIR,4.74,1.174086117,0.344595917,1.51627797
3/1/23,202303,ShorttermIR,4.91,1.314839283,0.391443125,1.193735459
4/1/23,202304,ShorttermIR,5.03,1.490919362,0.452203837,1.389223412
5/1/23,202305,ShorttermIR,5.15,1.615856392,0.477170382,1.299039657
6/1/23,202306,ShorttermIR,5.22,1.72308549,0.484503731,1.513020806
7/1/23,202307,ShorttermIR,5.35,1.782876516,0.452099904,1.406681823
8/1/23,202308,ShorttermIR,5.44,1.903153981,0.470573492,1.549154608
9/1/23,202309,ShorttermIR,5.49,1.991428593,0.483337357,1.348762087
10/1/23,202310,ShorttermIR,5.46,2.086885273,0.490256758,1.40224688
11/1/23,202311,ShorttermIR,5.41,2.178248244,0.492159229,1.453517979
12/1/23,202312,ShorttermIR,5.32,2.131472395,0.395007366,1.59739399
1/1/24,202401,ShorttermIR,5.26,2.106984077,0.290667151,1.390617382
2/1/24,202402,ShorttermIR,5.22,2.180945061,0.265703293,1.44428333
3/1/24,202403,ShorttermIR,5.29,2.145675884,0.176753806,1.337604392
