date,date_year,variable,test_data,SZBVARx,VARx,CatBoost
4/1/22,202204,Unemploymentrate,3.3,4.136928363,3.44793266,4.725731491
5/1/22,202205,Unemploymentrate,3.4,4.452972906,3.424813272,6.687849836
6/1/22,202206,Unemploymentrate,3.8,4.691300274,3.641394611,5.930299005
7/1/22,202207,Unemploymentrate,3.8,4.862240368,3.843445961,5.775524553
8/1/22,202208,Unemploymentrate,3.8,4.930580897,3.903861615,5.816709492
9/1/22,202209,Unemploymentrate,3.3,5.050444714,4.019634095,6.076344566
10/1/22,202210,Unemploymentrate,3.4,5.140942503,4.030549746,5.785564765
11/1/22,202211,Unemploymentrate,3.4,5.336936928,4.198067673,6.555868363
12/1/22,202212,Unemploymentrate,3.3,5.376622873,4.183003512,6.616433436
1/1/23,202301,Unemploymentrate,3.9,5.347639601,4.118681241,6.885545511
2/1/23,202302,Unemploymentrate,3.9,5.256147885,4.059279352,6.622064298
3/1/23,202303,Unemploymentrate,3.6,5.179387296,4.016514129,6.21600596
4/1/23,202304,Unemploymentrate,3.1,5.017753986,3.954838696,6.399510062
5/1/23,202305,Unemploymentrate,3.4,4.918595975,3.935489579,5.938078424
6/1/23,202306,Unemploymentrate,3.8,4.855560681,3.9119611,5.733336904
7/1/23,202307,Unemploymentrate,3.8,4.863140649,3.940887402,5.977066577
8/1/23,202308,Unemploymentrate,3.9,4.760263875,3.85192825,6.431574317
9/1/23,202309,Unemploymentrate,3.6,4.732467783,3.818069868,6.199913259
10/1/23,202310,Unemploymentrate,3.6,4.674782576,3.801955052,6.374486362
11/1/23,202311,Unemploymentrate,3.5,4.608349071,3.757718698,7.287022983
12/1/23,202312,Unemploymentrate,3.5,4.727435972,3.832496115,6.866766525
1/1/24,202401,Unemploymentrate,4.1,4.783548736,3.872165306,6.265908992
2/1/24,202402,Unemploymentrate,4.2,4.656063292,3.799874842,6.78314777
3/1/24,202403,Unemploymentrate,3.9,4.642327214,3.845503487,6.081556082
